"","year","doy","hour","SolarR","Temp","RH","WS","precip"
"1549",2003,90,0,0,2.375,0.64,1.643,0
"1550",2003,90,1,0,1.34,0.6426,0.77,0
"1551",2003,90,2,0,1.3,0.6431,0.387,0
"1552",2003,90,3,0,1.91,0.6436,0.84,0
"1553",2003,90,4,0,3.255,0.642,2.857,0
"1554",2003,90,5,1.48,4.185,0.6405,3.404,0
"1555",2003,90,6,22.78,13.1771632937893,0.639,4.577,0
"1556",2003,90,7,30.93,5.555,0.6385,3.326,0
"1557",2003,90,8,69.63,6.695,0.6364,4.819,0.2
"1558",2003,90,9,50.84,6.55,0.6354,5.145,0.8
"1559",2003,90,10,53.24,13.1771632937893,0.6359,5.445,1.4
"1560",2003,90,11,93.98,6.71,0.6349,6.396,1.2
"1561",2003,90,12,115.28,7.495,0.6344,5.613,0
"1562",2003,90,13,70,7.775,0.6344,4.815,1.4
"1563",2003,90,14,149.72,8.56,0.6323,6.066,0.2
"1564",2003,90,15,311.11,9.15,0.6287,6.381,0
"1565",2003,90,16,85.84,7.92,0.6308,6.309,0
"1566",2003,90,17,48.98,6.89,0.6354,5.851,0
"1567",2003,90,18,6.85,6.03,0.6374,3.889,0
"1568",2003,90,19,0,5.335,0.638,3.947,0
"1569",2003,90,20,0,4.15,0.6415,4.76,0
"1570",2003,90,21,0,13.1771632937893,0.642,5.466,0
"1571",2003,90,22,0,3.34,0.6431,5.077,0
"1572",2003,90,23,0,2.76,0.6451,5.038,0
"1573",2003,91,0,0,2.62,0.6461,4.991,0
"1574",2003,91,1,0,2.15,0.6477,3.974,0
"1575",2003,91,2,0,2.015,0.6482,3.572,0
"1576",2003,91,3,0,2.06,0.6497,3.238,0
"1577",2003,91,4,0,2.155,0.6497,3.843,0
"1578",2003,91,5,5.1,1.91,0.6502,3.415,0
"1579",2003,91,6,55.93,2.78,0.6487,3.764,0
"1580",2003,91,7,212.04,4.06,0.6477,5.315,0
"1581",2003,91,8,290.56,5.04,0.6477,7.402,0
"1582",2003,91,9,329.08,5.615,0.6461,7.345,0
"1583",2003,91,10,510.31,6.965,0.6431,6.591,0
"1584",2003,91,11,503.61,7.555,0.641,6.591,0
"1585",2003,91,12,275.65,7.56,0.639,6.783,0
"1586",2003,91,13,379.91,7.325,0.639,6.717,0
"1587",2003,91,14,363.98,7.36,0.638,6.464,0
"1588",2003,91,15,233.43,6.66,0.6395,4.817,0
"1589",2003,91,16,201.3,7.135,0.639,5.032,0
"1590",2003,91,17,66.02,6.54,0.64,5.357,0
"1591",2003,91,18,6.39,4.795,0.6426,3.164,0
"1592",2003,91,19,0,3.185,0.6451,2.44,0
"1593",2003,91,20,0,1.395,0.6482,1.157,0
"1594",2003,91,21,0,0.935,0.6492,1.364,0
"1595",2003,91,22,0,1.705,0.6492,2.155,0
"1596",2003,91,23,0,2.425,0.6497,2.596,0
"1597",2003,92,0,0,1.91,0.6497,2.423,0
"1598",2003,92,1,0,1.405,0.6508,2.219,0
"1599",2003,92,2,0,1.505,0.6508,2.462,0
"1600",2003,92,3,0,1.45,0.6513,2.364,0
"1601",2003,92,4,0,1.99,0.6518,2.294,0
"1602",2003,92,5,5.28,2.285,0.6523,1.898,0
"1603",2003,92,6,47.32,2.795,0.6508,2.757,0
"1604",2003,92,7,157.13,4.18,0.6497,3.519,0
"1605",2003,92,8,237.22,5.59,0.6482,3.86,0
"1606",2003,92,9,0,7.61,0.6303,5.16,0.2
"1607",2003,92,10,353.52,8.355,0.6185,5.547,0
"1608",2003,92,11,208.8,8.365,0.6216,4.868,0
"1609",2003,92,12,404.31,9.035,0.6216,4.621,0
"1610",2003,92,13,304.54,9.28,0.6195,4.698,0
"1611",2003,92,14,321.95,10.02,0.6175,4.983,0
"1612",2003,92,15,319.26,10.14,0.617,4.268,0
"1613",2003,92,16,201.95,9.605,0.618,3.609,0
"1614",2003,92,17,51.95,8.925,0.62,2.643,0
"1615",2003,92,18,2.04,7.96,0.6236,1.355,0
"1616",2003,92,19,0,7.41,0.6241,1.206,0
"1617",2003,92,20,0,6.64,0.6267,0.33,0
"1618",2003,92,21,0,13.1771632937893,0.6292,0.317,0
"1619",2003,92,22,0,5.74,0.6303,0.353,0
"1620",2003,92,23,0,5.14,0.6313,0.557,0
"1621",2003,93,0,0,3.95,0.6339,0.617,0
"1622",2003,93,1,0,4.255,0.6339,0.674,0
"1623",2003,93,2,0,4.595,0.6344,0.913,0
"1624",2003,93,3,0,13.1771632937893,0.6339,1.285,0
"1625",2003,93,4,0,5.045,0.6349,1.187,0
"1626",2003,93,5,6.58,4.77,0.6354,1.315,0
"1627",2003,93,6,46.95,5.685,0.6333,0.83,0
"1628",2003,93,7,178.98,7.645,0.6318,2.662,0
"1629",2003,93,8,340.93,9.795,0.6287,3.209,0
"1630",2003,93,9,451.01,11.56,0.6226,3.353,0
"1631",2003,93,10,525.11,12.95,0.6175,3.84,0
"1632",2003,93,11,539.91,14.33,0.6124,4.353,0
"1633",2003,93,12,479.91,14.005,0.6113,4.774,0
"1634",2003,93,13,421.41,13.74,0.6113,4.598,0
"1635",2003,93,14,429.51,13.415,0.6118,4.902,0
"1636",2003,93,15,258.89,12.955,0.6124,4.543,0
"1637",2003,93,16,123.98,11.43,0.6144,5.021,0
"1638",2003,93,17,60.28,10.155,0.6164,4.272,0
"1639",2003,93,18,8.34,8.84,0.619,3.396,0
"1640",2003,93,19,0,7.205,0.6216,2.351,0
"1641",2003,93,20,0,6.215,0.6252,1.726,0
"1642",2003,93,21,0,4.935,0.6267,1.617,0
"1643",2003,93,22,0,3.04,0.6303,0.904,0
"1644",2003,93,23,0,4.445,0.6303,1.749,0
"1645",2003,94,0,0,5.79,0.6287,2.398,0
"1646",2003,94,1,0,6.29,0.6298,2.909,0
"1647",2003,94,2,0,6.49,0.6287,2.834,0
"1648",2003,94,3,0,6.465,0.6287,2.694,0
"1649",2003,94,4,0,4.96,0.6313,1.634,0
"1650",2003,94,5,7.32,3.7,0.6333,1.194,0
"1651",2003,94,6,66.85,4.795,0.6323,1.904,0
"1652",2003,94,7,227.5,6.25,0.6303,3.66,0
"1653",2003,94,8,360.84,7.69,0.6282,4.347,0
"1654",2003,94,9,456.91,8.99,0.6262,4.764,0
"1655",2003,94,10,534.01,9.79,0.6246,4.913,0
"1656",2003,94,11,574.01,10.97,0.6246,4.964,0
"1657",2003,94,12,568.81,11.125,0.6216,5.664,0
"1658",2003,94,13,558.41,11.375,0.6221,5.328,0
"1659",2003,94,14,281.58,9.875,0.6216,5.326,0
"1660",2003,94,15,104.17,8.95,0.6236,4.934,0
"1661",2003,94,16,50.93,8.99,0.6231,4.028,0
"1662",2003,94,17,30.84,8.815,0.6231,3.626,0
"1663",2003,94,18,3.43,8.4,0.6246,3.283,0
"1664",2003,94,19,0,7.905,0.6246,2.089,0
"1665",2003,94,20,0,7.48,0.6262,1.228,0
"1666",2003,94,21,0,7.435,0.6277,1.343,0
"1667",2003,94,22,0,7.265,0.6282,1.051,0
"1668",2003,94,23,0,7.145,0.6287,1.838,0
"1669",2003,95,0,0,6.925,0.6287,1.879,0
"1670",2003,95,1,0,6.715,0.6298,1.828,0
"1671",2003,95,2,0,6.575,0.6313,1.928,0
"1672",2003,95,3,0,6.465,0.6308,2.194,0
"1673",2003,95,4,0,6.375,0.6318,2.477,0
"1674",2003,95,5,3.61,6.275,0.6318,3.091,0
"1675",2003,95,6,31.02,6.225,0.6323,3.028,0
"1676",2003,95,7,51.58,6.04,0.6328,3.634,0
"1677",2003,95,8,73.34,5.905,0.6333,3.596,0
"1678",2003,95,9,122.6,6.34,0.6333,3.702,0
"1679",2003,95,10,144.63,6.095,0.6333,4.243,0
"1680",2003,95,11,147.6,6.41,0.6344,4.245,0
"1681",2003,95,12,160.74,6.21,0.6354,4.483,0
"1682",2003,95,13,158.34,6.185,0.6349,4.155,0
"1683",2003,95,14,190.1,6.35,0.6344,4.132,0
"1684",2003,95,15,260.37,6.66,0.6354,4.291,0
"1685",2003,95,16,182.87,6.45,0.6354,4.46,0
"1686",2003,95,17,76.21,5.875,0.6344,3.9,0
"1687",2003,95,18,9.35,4.71,0.6359,3.279,0
"1688",2003,95,19,0,3.64,0.639,2.434,0
"1689",2003,95,20,0,1.59,0.6395,1.419,0
"1690",2003,95,21,0,-1.06,0.6441,0.455,0
"1691",2003,95,22,0,-1.79,0.6461,0.209,0
"1692",2003,95,23,0,0.57,0.6436,1.238,0
"1693",2003,96,0,0,-0.78,0.6461,0.97,0
"1694",2003,96,1,0,-2.47,0.6487,0.083,0
"1695",2003,96,2,0,-3.5,0.6502,0.04,0
"1696",2003,96,3,0,-3.805,0.6513,0.155,0
"1697",2003,96,4,0,-4.155,0.6523,0.128,0
"1698",2003,96,5,8.98,-4.085,0.6528,0.136,0
"1699",2003,96,6,87.32,-2,0.6508,0.291,0
"1700",2003,96,7,239.63,1.85,0.6456,1.287,0
"1701",2003,96,8,379.91,3.795,0.6431,2.464,0
"1702",2003,96,9,369.63,4.86,0.642,2.674,0
"1703",2003,96,10,515.51,5.53,0.6415,2.379,0
"1704",2003,96,11,388.01,5.85,0.6426,2.449,0
"1705",2003,96,12,442.91,6.23,0.6426,2.579,0
"1706",2003,96,13,447.31,6.8,0.6415,2.63,0
"1707",2003,96,14,499.21,6.73,0.6426,2.613,0
"1708",2003,96,15,304.91,6.25,0.6431,2.745,0
"1709",2003,96,16,221.58,5.74,0.6431,2.804,0
"1710",2003,96,17,75.56,4.595,0.6446,2.689,0
"1711",2003,96,18,9.54,3.125,0.6467,1.974,0
"1712",2003,96,19,0,1.775,0.6482,2.017,0
"1713",2003,96,20,0,0.685,0.6492,1.587,0
"1714",2003,96,21,0,0.065,0.6508,1.285,0
"1715",2003,96,22,0,-0.455,0.6508,1.234,0
"1716",2003,96,23,0,-2.01,0.6528,0.347,0
"1717",2003,97,0,0,-3.715,0.6554,0.083,0
"1718",2003,97,1,0,-4.64,0.6569,0.066,0
"1719",2003,97,2,0,-4.905,0.6574,0.053,0
"1720",2003,97,3,0,-5.07,0.6589,0.109,0
"1721",2003,97,4,0,-5.98,0.6574,0.043,0
"1722",2003,97,5,10.84,-5.785,0.6559,0.119,0
"1723",2003,97,6,91.11,-3.4,0.6518,0.319,0
"1724",2003,97,7,259.54,0.845,0.6461,0.787,0
"1725",2003,97,8,356.21,4.405,0.6446,1.887,0
"1726",2003,97,9,306.11,4.765,0.6446,2.566,0
"1727",2003,97,10,311.76,5.15,0.6446,2.194,0
"1728",2003,97,11,622.91,5.51,0.6441,2.985,0
"1729",2003,97,12,353.89,5.745,0.6436,2.777,0
"1730",2003,97,13,565.81,6.57,0.6431,2.364,0
"1731",2003,97,14,445.81,6.34,0.6426,2.751,0
"1732",2003,97,15,312.04,6.47,0.6431,2.704,0
"1733",2003,97,16,210.84,6.51,0.6431,2.762,0
"1734",2003,97,17,65.65,5.805,0.6431,2.749,0
"1735",2003,97,18,11.48,4.42,0.6446,2.364,0
"1736",2003,97,19,0,2.365,0.6467,1.357,0
"1737",2003,97,20,0,0.65,0.6472,0.779,0
"1738",2003,97,21,0,-0.705,0.6482,0.219,0
"1739",2003,97,22,0,-2.465,0.6492,0.036,0
"1740",2003,97,23,0,-3.595,0.6502,0.145,0
"1741",2003,98,0,0,-4.42,0.6508,0.072,0
"1742",2003,98,1,0,-4.745,0.6513,0.153,0
"1743",2003,98,2,0,-4.385,0.6508,0.421,0
"1744",2003,98,3,0,-4.505,0.6513,0.5,0
"1745",2003,98,4,0,-4.98,0.6518,0.3,0
"1746",2003,98,5,10.74,-4.26,0.6513,0.396,0
"1747",2003,98,6,85.84,-2.065,0.6482,0.219,0
"1748",2003,98,7,92.5,0.16,0.6467,0.962,0
