"","year","doy","hour","SolarR","Temp","RH","WS","precip"
"881",2003,NA,0,0,7.85,0.90368,0.746666667,0
"882",2003,NA,1,0,7.8,0.905728,0.96,0
"883",2003,NA,2,0,7.535,0.9088,0.186666667,0
"884",2003,NA,3,0,7.545,0.905728,0.293333333,0
"885",2003,NA,4,0,8.06,0.886784,1.093333333,0
"886",2003,NA,5,1.3,8.48,0.886784,1.653333333,0
"887",2003,NA,6,35.9,8.72,0.875008,1.44,0
"888",2003,NA,7,292.5,9.17,0.838656,1.6,0
"889",2003,NA,8,381.4,9.85,0.784384,2.026666667,0
"890",2003,NA,9,570.4,10.495,0.75008,2.306666667,0
"891",2003,NA,10,349.7,10.545,0.7424,1.826666667,0
"892",2003,NA,11,769.6,10.485,0.807936,1.386666667,0
"893",2003,NA,12,1089.6,12.77,0.625152,2.573333333,0
"894",2003,NA,13,1115.2,13.42,0.601088,2.266666667,0
"895",2003,NA,14,651.2,13.215,0.609792,1.933333333,0
"896",2003,NA,15,576,12.47,0.671232,1.706666667,0
"897",2003,NA,16,384.5,11.94,0.72192,0.64,0
"898",2003,NA,17,123.3,10.91,0.786432,0.48,0
"899",2003,NA,18,218.8,10.7,0.813568,0.306666667,0
"900",2003,NA,19,86.1,11.16,0.738304,1.106666667,0
"901",2003,NA,20,6.6,10.59,0.774144,0.52,0
"902",2003,NA,21,0,9.64,0.860672,0.64,0
"903",2003,NA,22,0,9.01,0.932352,0.813333333,0
"904",2003,NA,23,0,8.51,0.940032,0.826666667,0
"905",2003,NA,0,0,8.25,0.954368,0.893333333,0
"906",2003,NA,1,0,8.93,0.948736,1.426666667,0
"907",2003,NA,2,0,8.96,0.927744,1.573333333,0
"908",2003,NA,3,0,8.89,0.931328,1.666666667,0
"909",2003,NA,4,0,8.89,0.945664,1.72,0
"910",2003,NA,5,0.2,9.12,0.941056,2.013333333,0
"911",2003,NA,6,13.6,9.37,0.930304,1.96,0
"912",2003,NA,7,47.6,9.56,0.927232,2.053333333,0
"913",2003,NA,8,316.9,10.06,0.880128,2.066666667,0
"914",2003,NA,9,534.4,9.935,0.846336,2.106666667,0
"915",2003,NA,10,510.4,10.22,0.811008,2.146666667,0
"916",2003,NA,11,464,9.87,0.804352,2.053333333,0
"917",2003,NA,12,422.4,9.13,0.884224,1.84,0
"918",2003,NA,13,361.9,8.78,0.92672,1.426666667,0
"919",2003,NA,14,418.4,9.5,0.946176,0.76,0
"920",2003,NA,15,323.4,10.12,0.938496,0.84,0
"921",2003,NA,16,781.6,11.035,0.831488,2.586666667,0
"922",2003,NA,17,281.2,10.23,0.845824,2.786666667,0
"923",2003,NA,18,203.1,8.99,0.848896,3.52,0
"924",2003,NA,19,102.9,8.83,0.822784,2.76,0
"925",2003,NA,20,14.8,8.71,0.863232,1.613333333,0
"926",2003,NA,21,0,8.49,0.874496,1.253333333,0
"927",2003,NA,22,0,7.75,0.852992,0.773333333,0
"928",2003,NA,23,0,8.275,0.871424,1.2,0
"929",2003,NA,0,0,8.51,0.884736,1.506666667,0
"930",2003,NA,1,0,8.87,0.873984,1.933333333,0
"931",2003,NA,2,0,8.63,0.857088,1.533333333,0
"932",2003,NA,3,0,7.46,0.875008,0.28,0
"933",2003,NA,4,0,6.63,0.910848,0.32,0
"934",2003,NA,5,7.1,5.97,0.927232,0,0
"935",2003,NA,6,73.9,5.79,0.959488,0,0
"936",2003,NA,7,249.3,7.8,0.950272,0.373333333,0
"937",2003,NA,8,686.4,10.275,0.822784,1.533333333,0
"938",2003,NA,9,461.6,10.98,0.746496,1.693333333,0
"939",2003,NA,10,511.2,11.68,0.694272,2.333333333,0
