"","X","X.2","X.1","year","date","day","block","plot","species","id","person","HHMMSS","Photo","Cond","Ci","wueg","wuet","Trmmol","X.Blue","LeafAbs","PhiCO2","VpdL","CTleaf","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","PARi","PARo","Press","CsMch","HsMch","StableF","BLCslope","BLCoffst","fda","Trans","Tair_K","Twall_K","R.W.m2.","Tl.Ta","SVTleaf","h2o_i","h20diff","CTair","SVTair","CndTotal","vp_kPa","VpdA","CndCO2","Ci_Pa","Ci.Ca","RHsfc","C2sfc","AHs.Cs","PARabs","Fv.","qP_Fo","Fo.","Fm.","Fs","Fv..Fm.","PhiPS2","qP","qN","NPQ","ParIn.Fs","PS2.1","ETR","sp","drawdown","cica","day2","time"
"1",1,1,1,2010,"june","6/24/2010",1,2,16,NA,"a","10:53:55",17.45169903,0.140522093,180.0371611,124.191852380109,84.7981200945176,2.058029183,10.01873016,0.875009365,NA,1.427425673,29.25732803,28.06637955,29.25732803,28.04570961,400.244812,388.0601196,25.37438011,26.71170425,66.19468689,69.68338776,299.5617371,1493.878906,2087.806885,99.38052368,-0.392735004,0.630836308,0.75,-1.355140209,7.355140209,1.497808685,0.002058029,302.407328,301.2163795,239.0206197,0.535190343,4.082048831,41.07493782,14.36323357,28.66185379,3.943746886,0.138428142,2.654623157,1.289123729,0.086703312,17.89218735,0.463941415,64.34421475,385.524005,0.029127003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PRSE2",208.0229585,0.463941415277552,"6/24/2010",2010-06-24
"2",2,2,2,2010,"june","6/24/2010",1,2,16,NA,"b","11:01:00",16.73105694,0.175775447,225.7778389,95.1842662075551,73.0120291610736,2.29154755,10.03412724,0.875017064,NA,1.273173879,28.71947479,28.03833961,28.71947479,28.0492382,398.7594604,387.0349121,25.57949066,27.06321716,66.69519806,70.56381989,300.53125,1486.137207,0.00990246,99.16687775,-1.484519958,-0.824677527,0.75,-1.355140209,7.355140209,1.50265625,0.002291548,301.8694748,301.1883396,237.7819478,0.513480705,3.956948627,39.90191803,12.83870086,28.3789072,3.879475949,0.172511275,2.683774748,1.195701201,0.108108137,22.38968335,0.583352643,67.32791206,384.6035226,0.029289049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PRSE2",161.2570732,0.583352642982411,"6/24/2010",2010-06-24
"3",3,3,3,2010,"june","6/24/2010",1,3,6,NA,"a","11:01:13",13.066545,0.143312848,236.374741,91.1749726723734,68.8104389918685,1.898919158,10.01873016,0.875009365,NA,1.291865681,28.92794609,27.96137047,28.92794609,28.04213715,400.1375122,390.9189148,26.06899834,27.30207825,68.42113495,71.65749359,299.5871887,1493.637695,1906.87854,99.37591553,-0.450260639,0.616782963,0.5,-1.355140209,7.355140209,1.497935944,0.001898919,302.0779461,301.1113705,238.9820259,0.573821243,4.005034703,40.30186471,12.99978646,28.44465828,3.894329155,0.141135545,2.713169022,1.181160133,0.088402782,23.4899563,0.604664374,67.12269521,389.0200592,0.022545411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CASP",154.5441738,0.60466437424992,"6/24/2010",2010-06-24
"4",4,4,4,2010,"june","6/24/2010",1,3,6,NA,"b","11:06:14",11.58037302,0.282972261,318.2985166,40.9240572877212,42.2406560878752,2.741522798,10.03412724,0.875017064,NA,0.956896236,28.03465462,27.88308144,28.03465462,28.0556488,399.5466309,391.1267395,26.92154694,28.69358444,70.83690643,75.4995575,300.5420227,1490.371216,0.138632983,99.1725769,-1.492179871,-0.892121375,0.25,-1.355140209,7.355140209,1.502710114,0.002741523,301.1846546,301.0330814,238.4593892,0.462140881,3.802512946,38.34238319,9.64879875,27.95886803,3.785749725,0.274607498,2.84561671,0.940133015,0.172362105,31.56648412,0.813798916,74.73211488,389.4438573,0.022222093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CASP",72.8282229,0.813798915939369,"6/24/2010",2010-06-24
"5",5,5,5,2010,"june","6/24/2010",1,3,6,NA,"b2","11:09:02",23.11661083,0.242259786,222.5281173,95.4207514655363,92.002822695871,2.51259797,10.03412724,0.875017064,NA,1.019697025,28.31285477,27.97599792,28.31285477,28.0522213,399.7791443,383.7532043,27.06207848,28.68626022,70.82223511,75.07276917,300.5231323,1488.949219,0.179889664,99.173172,-1.270957947,-0.884863913,0.25,-1.355140209,7.355140209,1.502615662,0.002512598,301.4628548,301.1259979,238.2318697,0.492736981,3.864604444,38.9682448,10.28198458,28.14442635,3.826908152,0.236102638,2.844907419,0.982000733,0.148105248,22.06881925,0.579872988,73.38473277,380.3938538,0.044596049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CASP",161.225087,0.579872988177157,"6/24/2010",2010-06-24
"6",6,6,6,2010,"june","6/24/2010",1,5,18,NA,"a","11:12:12",16.0796491,0.117812447,161.1339346,136.485146599153,98.8755677936555,1.626250658,10.01873016,0.875009365,NA,1.341903817,29.17445755,28.06531715,29.17445755,28.04040718,399.1663513,388.0115662,26.31834412,27.37419128,68.6661911,71.42095947,299.6140747,1506.50769,1067.112671,99.38734436,-0.564548969,0.614536107,0.5,-1.355140209,7.355140209,1.498070374,0.001626251,302.3244576,301.2153172,241.0412251,0.623128367,4.062551993,40.87594873,13.50175745,28.61988735,3.934156008,0.116337058,2.720648176,1.213507832,0.072841792,16.01467384,0.415281266,66.23020211,385.6748405,0.027612857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ROPS",226.8776316,0.415281266427361,"6/24/2010",2010-06-24
"7",7,7,7,2010,"june","6/24/2010",1,6,9,NA,"b","11:21:40",7.22446075,0.080654072,242.2198705,89.5734160824515,59.0420398442972,1.223612513,10.03412724,0.875017064,NA,1.464837702,29.73200989,27.99399948,29.73200989,28.04977036,399.513855,394.3866272,26.73710442,27.52872276,69.90753937,71.97732544,300.6317444,1490.486084,0.132031813,99.18617249,-1.418571472,-0.823933661,0.5,-1.355140209,7.355140209,1.503158722,0.001223613,302.8820099,301.1439995,238.4777681,0.653659662,4.195306346,42.29729045,14.76856769,28.86300468,3.990000944,0.079959854,2.730468644,1.259532299,0.05003682,24.02486186,0.614168569,64.13217327,393.3367546,0.011779229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"COAM3",152.1667567,0.614168569101016,"6/24/2010",2010-06-24
"8",8,8,8,2010,"june","6/24/2010",1,7,17,NA,"a","11:31:56",17.17870699,0.129506126,166.3631455,132.647833122581,89.5129461719914,1.919131394,10.01873016,0.875009365,NA,1.44065165,29.85161018,28.00529099,29.85161018,28.03510094,399.7468262,387.7809448,26.76311111,28.00849533,70.06954193,73.33013153,299.5668945,1491.555054,2373.07373,99.38481903,-0.429142475,0.607444584,0.75,-1.355140209,7.355140209,1.497834473,0.001919131,303.0016102,301.155291,238.6488033,0.52678943,4.22427089,42.50418657,14.49569124,28.92845058,4.005151685,0.12772553,2.78361924,1.221532445,0.079986544,16.53397111,0.429013204,65.13556042,385.2845019,0.029042038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RHCO",221.4177993,0.429013203796805,"6/24/2010",2010-06-24
"9",9,9,9,2010,"june","6/24/2010",1,7,17,NA,"b","11:25:37",21.38308221,0.223832945,223.0691624,95.5314339897552,87.6785237442108,2.438805113,10.03412724,0.875017064,NA,1.069310312,28.42890358,28.10092354,28.42890358,28.04751015,399.330658,384.4778748,26.86882019,28.44549942,69.81690216,73.9138031,300.5598145,1486.118286,0.018154113,99.18811035,-1.238395691,-0.871106207,0.25,-1.355140209,7.355140209,1.502799072,0.002438805,301.5789036,301.2509235,237.7789205,0.504289174,3.890765648,39.22612936,10.78062994,28.26491356,3.853841796,0.218566649,2.821455335,1.03238646,0.137067735,22.12580869,0.580187254,72.22349292,381.3704439,0.040495033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RHCO",161.4087124,0.58018725398968,"6/24/2010",2010-06-24
"10",10,10,10,2010,"june","6/24/2010",1,8,5,NA,"a","11:43:21",8.529541796,0.077109887,207.9004156,110.615410394779,67.8759942895158,1.256636219,10.01873016,0.875009365,NA,1.573056555,30.74673462,28.31439018,30.74673462,28.03479004,400.072052,394.0465393,28.09697151,28.91172981,72.25457764,74.349823,299.5501099,1493.135132,1517.896118,99.39160156,-0.429142475,0.607444584,0.5,-1.355140209,7.355140209,1.497750549,0.001256636,303.8967346,301.4643902,238.9016158,0.61560437,4.446639685,44.7385857,15.82685589,29.5305624,4.146911455,0.0764751,2.87358313,1.273328325,0.047853567,20.66355527,0.527603709,63.57351567,392.8070098,0.013804564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CADE",186.1461237,0.527603708864751,"6/24/2010",2010-06-24
