run,Assim,Qp,TL,RH,Ci,,Cond
1,15.47998575,1502.199829,26.1367569,53.72547531,167.7848201,299.5419617,0.24794892
1,9.235903202,1499.573242,26.24038315,53.83818054,119.2558856,200.5129852,0.239425039
1,4.434460972,1499.754517,26.45438385,54.45332336,83.44603809,124.7211075,0.227564321
1,1.369563968,1500.567749,26.4872818,55.33527374,61.63718178,75.58698273,0.220781198
1,-0.612306356,1499.518311,26.61317444,56.46802521,47.5015134,43.00464249,0.212793175
1,18.66192632,1498.976074,26.58518791,58.17963409,212.2451523,400.5716858,0.199693148
1,27.0621435,1499.447876,26.67104721,59.15148926,324.1921153,600.3070679,0.197234772
1,37.52871764,1500.730835,26.76343155,60.41404724,600.0759094,1000.108276,0.188832577
2,8.243495771,1500.143311,27.44089699,39.21402359,147.0679857,398.645752,0.058031431
2,4.866966683,1500.848267,27.52135658,39.51250458,115.2674131,300.0232544,0.046196545
2,2.806090454,1498.9646,27.55050278,39.97756958,93.49027136,200.0092926,0.046686353
2,1.321337956,1499.845215,27.59525871,40.35450745,76.85602653,125.1670609,0.050068897
2,0.294937748,1501.044189,27.79743195,40.78445816,63.96158757,75.59139252,0.055888872
2,-0.574974529,1500.755249,27.87988281,41.35152054,55.95978061,42.74369431,0.065050281
2,11.20618851,1498.975464,27.72652435,42.09722137,153.5806947,401.0812988,0.082099294
2,18.69384859,1500.835938,27.8106041,42.96466446,246.6204925,599.5344849,0.097739207
2,27.61538378,1498.217285,27.81364441,44.17124176,434.6350479,1000.380859,0.089543066
3,14.9,1500,27.36,68.1,204,398.51,0.146
3,9.13,1499,27.41,68.9,156,299.26,0.119
3,5.14,1501,27.5,70.04,108,201,0.102
3,2.5,1500,27.43,72.32,78.4,124.87,0.0991
3,0.662,1499,27.35,74.81,62.2,74.35,0.108
3,-0.821,1500,27.34,76.42,48.2,37.96,0.136
3,15.8,1500,27.4,77.97,215,401.88,0.163
3,23,1500,27.41,79.34,345,600.42,0.176
3,29.5,1500,27.54,81.05,565,1000.07,0.127
4,10.7,1500,26.58,83.49,276,400.29,0.166
4,8.13,1500,26.65,82.09,211,299.49,0.18
4,5.32,1501,26.7,80.74,147,201.22,0.199
4,2.67,1501,26.72,79.62,102,126.27,0.231
4,0.451,1501,26.71,78.72,70.2,74.68,0.261
4,-1.58,1499,26.67,77.9,47,36.57,0.305
4,15.9,1499,26.72,76.99,293,401.39,0.33
4,22.7,1499,26.8,76.2,449,600.52,0.343
4,29,1500,26.85,75.61,794,1001.11,0.319
5,18.48028182,1499.415649,26.56612587,61.83092499,261.9786232,399.7245789,0.297181981
5,13.77011852,1500.471191,26.74408913,62.01274109,194.1326366,300.1556702,0.284553455
5,8.436800374,1498.88916,26.79046822,62.95974731,132.4884482,200.1277771,0.270961971
5,4.219000201,1500.759399,26.86878586,63.47789764,90.97150883,125.202858,0.272362948
5,1.207926545,1500.446167,26.91692162,64.44441223,64.89314782,75.56912231,0.270929484
5,-0.669016361,1500.346069,26.927351,65.35948181,46.70650878,42.6314888,0.275039821
5,18.54519569,1498.63208,26.80277634,66.71546936,257.6154197,400.4543457,0.282351434
5,25.28545593,1500.258789,26.86604881,67.71736908,403.8098098,599.9330444,0.281458169
5,30.32288478,1500.052124,26.95485306,68.78653717,757.1656766,999.9789429,0.277567606
6,14.5,1500,27.66,41.03,179,399.44,0.125
6,8.36,1500,28.03,41.14,125,299.04,0.0883
6,4.05,1499,28.13,41.23,93.5,200.24,0.0688
6,1.9,1500,28.46,41.32,71,125.83,0.0638
6,0.332,1500,28.57,41.42,64,74.84,0.0706
6,-0.86,1500,28.6,41.64,52,36.06,0.0847
6,12.9,1499,28.52,41.77,165,401.6,0.101
6,18.2,1500,28.45,41.9,225,600.53,0.0887
6,24,1500,28.53,42,380,1000.15,0.0696
7,7.110074369,1498.434448,27.56184959,47.7880249,246.9831668,399.4362183,0.087742264
7,4.369517961,1500.260132,27.67704964,48.73308182,187.1159242,300.2018433,0.071678625
7,2.363078445,1498.49707,27.72335625,49.59591675,136.2784569,200.38414,0.0693612
7,0.926917773,1499.206543,27.74726105,50.35663605,99.98465812,124.9840546,0.075150968
7,-0.089609852,1498.44751,27.74819946,50.87961197,74.86522206,75.49339294,0.085976038
7,-0.843493167,1499.654419,27.73493385,51.1019516,55.89560262,42.71245193,0.101099937
7,7.625834262,1501.117432,27.54264259,51.80285263,281.9928555,400.6868286,0.127960298
7,9.858631234,1499.083008,27.79755402,52.20667267,413.7935623,599.6311646,0.102972044
7,11.08024145,1499.639404,28.08576775,52.57909775,618.9517445,1000.463989,0.052755612
8,12.50728683,1499.634644,26.74887276,73.41782379,217.1799529,399.4001465,0.128388153
8,8.565526252,1497.101196,26.82246399,74.64531708,162.2123397,300.1002197,0.114588675
8,5.656298411,1498.963989,26.84294319,73.32680511,127.3525989,200.1633148,0.149708081
8,2.986530803,1499.234131,26.84459496,71.84981537,89.269068,125.3588104,0.163944503
8,0.788282994,1499.424072,26.89155388,73.39726257,65.47224109,75.25908661,0.173905256
8,-0.68273981,1499.87793,26.96368408,74.80039978,48.7535708,42.6960907,0.192905098
8,17.19828955,1499.520874,26.95539856,74.99744415,255.5715689,400.0036011,0.249542252
8,25.24411252,1499.429565,26.95042229,73.08230591,403.0885097,600.1582642,0.276218486
8,34.36515069,1499.559692,26.9674511,71.43511963,725.8613885,1000.236877,0.27301059
9,12.1,1500,26.52,75.92,262,399.9,0.172
9,6.89,1500,26.43,77.13,188,299.72,0.114
9,3.72,1500,26.46,78.44,131,200.99,0.0966
9,1.83,1500,26.47,78.46,95.9,125.9,0.116
9,0.38,1500,26.45,78.08,68.4,74.75,0.128
9,-0.792,1499,26.56,77.65,45.5,36.13,0.147
9,11.9,1499,26.46,78.71,254,400.93,0.155
9,17.7,1500,26.48,79.47,402,599.98,0.176
9,23.1,1499,26.57,78.52,760,1000.29,0.195
9,16.4,1500,26.82,80.71,217,400.15,0.173
10,12.1,1499,27.47,43.4,213,399.85,0.124
10,6.63,1500,27.56,44.15,160,299.4,0.0881
10,2.23,1500,27.59,45.04,129,200.46,0.0573
10,0.908,1501,27.64,45.72,95.1,125.99,0.0569
10,-0.0168,1500,27.51,46.44,72.8,74.88,0.0667
10,-1.07,1499,27.52,46.92,56,35.83,0.0861
10,10.5,1500,27.43,47.34,226,401.79,0.113
10,16.4,1499,27.38,47.67,355,599.9,0.13
10,23,1501,27.39,47.94,645,999.75,0.127
11,15.96237174,1499.628296,27.30920219,51.84720612,205.5239934,399.3982239,0.161508799
11,11.02318588,1499.79187,27.43789864,51.1997757,157.0867269,300.2516174,0.149840524
11,6.346477924,1498.502319,27.53842354,50.75702286,114.0920002,199.7869873,0.144703029
11,2.826073286,1500.21936,27.59569931,50.36566925,85.34208627,125.1422882,0.142407388
11,0.54726378,1500.007202,27.48274803,50.11287689,65.73427844,75.13064575,0.139417668
11,-0.993232317,1500.51416,27.46537971,49.75205994,53.85571757,42.15118408,0.137719013
11,14.78773544,1500.575562,27.27467728,49.4263916,192.9165906,400.5604858,0.136283904
11,21.7546841,1500.85498,27.31278419,49.08425522,287.3401934,600.2738037,0.132600494
11,30.72421848,1498.616821,27.22579193,48.76681519,539.1032029,1000.362732,0.127504867
12,9.551183006,1499.152466,27.09224319,66.67438507,237.0087685,399.8806763,0.109228884
12,6.398890626,1501.104736,27.0200119,66.06228638,181.6955351,299.7714233,0.100360067
12,3.301726363,1501.39502,27.00006676,65.33925629,134.6346414,199.8431854,0.094506918
12,1.286534963,1499.142822,27.0128727,64.48008728,97.49489542,125.10289,0.089920246
12,-0.001906701,1499.38623,27.08257675,63.93503189,73.38052998,75.08919525,0.088492961
12,-0.905926884,1499.22583,27.16280174,62.80089951,59.47734894,42.60189819,0.087405869
12,8.34110975,1499.131348,27.15836525,62.05949402,226.495761,400.6631165,0.08753174
12,12.65364647,1499.991211,27.1685791,61.65895844,329.888487,600.2470093,0.085228761
12,18.66114094,1499.560547,27.04807472,61.22489166,586.2416006,1000.634888,0.082168553
13,14.7,1499,26.83,48.87,252,400.58,0.206
13,9.91,1500,26.81,49.4,186,298.96,0.177
13,5.18,1501,26.91,49.66,133,200.35,0.154
13,2.24,1500,26.86,50,93.4,124.83,0.146
13,0.5,1499,26.85,50.05,66.4,74.72,0.148
13,-1.08,1500,26.82,50.28,47.7,35.77,0.153
13,12.7,1499,26.8,50.36,246,401.03,0.164
13,19.6,1500,26.72,50.59,374,600.78,0.174
13,26.8,1500,26.68,50.97,687,999.8,0.175
14,17.21253693,1501.032715,26.53465271,48.03370667,249.2438099,400.1138306,0.244119454
14,12.42904091,1500.741577,26.64185143,47.74920654,188.6782744,300.2994385,0.237496461
14,7.247155898,1498.641846,26.62754822,47.6169281,132.0253656,199.9033661,0.227669216
14,3.462212834,1498.629517,26.59560394,47.53852463,91.31996756,125.1459427,0.222533236
14,0.710116811,1500.896118,26.59032631,47.69099045,66.73210505,75.08053589,0.221878618
14,-0.875761539,1499.063477,26.5469265,47.73869705,48.81467701,42.33023834,0.221830178
14,16.50599476,1499.709473,26.52050018,47.62818146,245.6893229,399.9507446,0.225102482
14,23.87195319,1502.997559,26.50282288,47.49266815,376.8569444,599.7178345,0.226220996
14,32.19572017,1500.519165,26.64334869,47.32736588,696.1057204,1000.726074,0.227916576
15,18.2,1501,26.8,51.4,257,399.3,0.284
15,12.5,1499,26.91,51.45,187,299.08,0.238
15,6.82,1499,26.84,51.63,133,200.74,0.213
15,3.17,1500,26.99,51.58,92.8,125.87,0.205
15,0.659,1500,26.97,51.52,66.9,75.08,0.209
15,-1.19,1499,27.1,51.3,45.5,35.82,0.216
15,16.3,1499,27.1,51.25,250,400.54,0.229
15,23,1501,27.14,51.35,379,600.89,0.218
15,31.1,1500,27.21,51.56,654,1000.84,0.184
16,10.8,1498,27.01,81.09,181,299.17,0.177
16,6.44,1500,27.12,81.04,129,200.78,0.175
16,3.27,1499,27.12,80.86,92.4,124.58,0.208
16,0.992,1500,27.01,80.19,64.9,74.27,0.236
16,-1.07,1499,27.18,80.73,45,36.2,0.226
16,17.7,1499,27.35,81.33,246,401.29,0.233
16,25.5,1501,27.48,82.16,372,600.55,0.228
16,31.9,1500,27.29,82.16,735,1000.64,0.255
17,18.33793718,1498.740601,27.35962296,59.71817017,238.5700724,400.0806274,0.239206656
17,13.07675096,1497.952393,27.5272274,59.24847031,182.6764026,300.0350037,0.23472544
17,7.105422369,1499.211426,27.66679573,59.23067474,131.5607361,200.061203,0.217918512
17,2.823116193,1498.655762,27.71780396,59.56880569,95.18137978,125.2396317,0.201876222
17,0.087309827,1499.159302,27.69203758,59.99248886,72.38177864,75.21633148,0.190803433
17,-1.830534804,1499.132202,27.75448418,60.32238388,60.62385697,42.88489532,0.182612612
17,16.28403209,1498.432129,27.80518341,60.99561691,219.034249,400.5263367,0.178504824
17,23.24248722,1500.240112,27.81345367,61.58223724,334.2119638,600.1914063,0.173147726
17,31.50530644,1498.942993,27.74695778,62.92340088,615.5984902,1000.115051,0.162065229
18,13.4,1499,27.56,73.78,234,399.44,0.156
18,9.32,1500,27.6,73.9,181,299.24,0.153
18,5.47,1499,27.79,74.15,133,199.37,0.162
18,2.67,1499,27.76,74.91,95.1,125.14,0.181
18,0.507,1500,27.84,75.22,68.5,74.65,0.202
18,-1.21,1500,27.71,75.34,46,36.42,0.234
18,16.5,1500,27.86,75.73,260,401.39,0.245
18,22.7,1499,27.81,76.03,407,600.63,0.247
19,16.01621247,1501.313232,30.1651783,50.50520706,221.5613975,399.8268433,0.183433387
19,11.26704936,1498.764404,30.47112465,49.72144699,167.7922508,299.5996399,0.173661909
19,6.571241917,1498.194702,30.72395897,48.89673615,121.2099384,200.5199738,0.170028532
19,2.900159358,1500.571655,30.87501907,48.2416153,88.7912438,124.8900681,0.172578407
19,0.506723638,1499.510986,30.91583443,47.84230423,67.40457187,75.71800995,0.178285866
19,-1.13457999,1499.776367,31.10826874,47.44885254,52.70086105,43.02420044,0.186292753
19,16.05816548,1500.595581,31.32740021,47.37731552,228.2036606,399.655304,0.195526479
19,23.45340698,1499.208862,31.52147675,47.39046478,327.2653439,599.7870483,0.175794738
19,31.8493296,1500.292358,31.97690392,47.00838089,530.9786864,1000.348694,0.133537502
20,7.97,1501,29.75,48.52,208,400.2,0.0761
20,6,1499,29.28,49.96,161,299.38,0.08
20,4.16,1500,28.93,50.78,117,200.77,0.0929
20,1.77,1501,28.63,51.19,94.5,125.81,0.115
20,0.48,1500,28.38,51.45,66,74.72,0.137
20,-1.28,1501,28.27,51.39,49.1,35.77,0.163
20,13.6,1500,28.11,51.11,233,400.87,0.161
20,15.9,1499,28.19,50.77,312,599.79,0.103
20,19.9,1500,28.1,50.4,492,1000.07,0.0708
21,12.48875808,1499.248413,30.75583267,53.32509995,217.9206753,399.9848633,0.133407044
21,8.120185682,1501.130249,30.51090622,53.90461731,168.2651376,299.8514709,0.118626871
21,4.502024293,1500.241821,30.29839516,53.98387909,124.5097805,200.2252502,0.115528863
21,1.953249535,1500.068359,30.13059616,53.86526871,91.45037156,125.3309555,0.116821344
21,0.023999107,1500.451416,29.96925735,53.61466217,72.67848531,75.65248871,0.119515657
21,-1.142389955,1500.732056,29.8276062,53.45496368,57.63359757,42.50210953,0.122121059
21,12.67234872,1499.780762,29.55892563,53.11530304,211.0654505,400.098175,0.129020027
21,19.00027361,1500.306519,29.38962364,52.78762817,316.1051281,599.807251,0.128822029
21,26.70036542,1500.519897,29.36690331,52.16439819,557.3078745,1000.964539,0.114998732
22,17.5,1500,27.41,52.75,282,399.72,0.354
22,13,1499,27.45,52.23,211,299.8,0.347
22,7.97,1500,27.43,51.99,146,201.1,0.347
22,3.74,1501,27.6,51.5,99.1,125.87,0.347
22,0.854,1500,27.71,51.45,67.2,74.58,0.346
22,-1.34,1500,27.6,51.45,42.7,35.6,0.361
22,17.6,1500,27.59,51.31,284,400.61,0.363
22,24.7,1499,27.49,51.38,436,600.75,0.365
22,30.5,1501,27.61,51.34,786,999.88,0.354
23,15.55342439,1499.853027,27.93099594,54.34608841,237.9097043,400.1803894,0.196318898
23,9.583990544,1499.172119,27.98032188,54.30893326,173.9670306,299.862854,0.149398447
23,5.487334984,1498.156006,27.93746948,53.88587952,124.3634578,199.8728333,0.143027847
23,2.762526008,1499.388916,27.88272285,54.17347336,89.48252309,124.8726196,0.160461152
23,0.721028684,1498.527588,27.93240547,54.43976212,66.17865595,75.73180389,0.184737031
23,-0.849797564,1499.059082,27.91347504,54.95454407,49.77369084,43.30016327,0.212671875
23,17.18248505,1501.498657,27.94361496,55.62641907,250.9892503,399.8484497,0.248185931
23,25.26455015,1501.406372,27.95802307,55.98275757,390.4674064,599.2562866,0.265105788
23,32.75778191,1499.797974,27.9764576,56.40211487,694.126909,999.9907837,0.230915975
24,8.01,1501,27.45,55.99,335,399.78,0.308
24,5.9,1499,27.51,55.64,252,299.51,0.309
24,3.41,1499,27.62,55.22,173,201.11,0.307
24,1,1500,27.59,54.83,116,125.88,0.313
24,-0.198,1500,27.6,54.48,74,74.65,0.323
24,-1.22,1501,27.53,54.29,42.4,35.43,0.33
24,7.71,1501,27.53,53.94,341,401.26,0.327
24,10.9,1500,27.45,53.9,514,600.64,0.327
24,13.5,1500,27.38,53.55,887,1000.54,0.329
25,10.11671798,1500.571289,29.18622589,52.25222397,174.833596,400.3819885,0.081726741
25,7.14693374,1499.020142,29.25528717,52.33792496,133.350533,300.0759583,0.077926755
25,4.727356117,1499.284058,29.25060844,52.2857399,103.3280984,200.0955963,0.090821267
25,2.639892881,1498.938721,29.32569122,52.23692703,79.89776725,125.1485291,0.11390173
25,0.737073505,1501.127441,29.18222618,52.40339661,63.2090192,75.22299194,0.141623608
25,-0.802254488,1500.21582,29.04756355,52.56424332,50.27093909,42.92700958,0.168840321
25,17.00001593,1499.55249,28.67630959,53.32542419,220.6520747,400.0800781,0.193290161
25,22.211709,1498.412476,28.70697594,53.54890442,341.4846095,599.8692627,0.17286438
25,26.40506688,1501.066406,28.91530991,53.75564957,544.773575,999.7716064,0.109975344
26,19.3,1501,28.04,59.75,264,400.06,0.322
26,13.8,1499,27.8,59.75,198,298.89,0.31
26,8.37,1500,27.82,59.38,139,200.93,0.307
26,4.11,1499,27.8,58.9,94.7,124.73,0.323
26,0.97,1500,27.92,58.43,66.4,74.55,0.327
26,-1.73,1500,27.91,57.99,45.2,35.36,0.351
26,20.5,1499,27.72,57.29,268,401.08,0.364
26,27.8,1501,27.74,56.87,421,600.18,0.374
26,32,1499,27.77,56.27,791,1001.28,0.385
27,9.98,1499,27.3,85.11,200,399.93,0.0888
27,7.63,1499,27.41,86.1,125,299.39,0.0765
27,3.74,1500,27.18,59.56,166,200.19,0.256
27,1.27,1501,27.11,60.85,113,126.43,0.239
27,-0.213,1501,27.17,60.34,74.9,74.92,0.248
27,-1.52,1500,27.13,60.47,46,35.47,0.274
27,10.4,1499,27.09,58.86,320,402.15,0.295
27,14.7,1501,27.08,57.49,479,600.74,0.28
27,19,1501,26.96,56.21,813,999.76,0.23
28,8.560135965,1499.596191,29.0242157,54.39078903,165.6388479,399.8224792,0.065201496
28,5.253698246,1501.881104,28.86275101,54.65350723,130.7614123,300.2223206,0.054837489
28,2.769735276,1500.070923,28.63623238,54.98552704,100.9717984,200.0048218,0.049598755
28,1.024862648,1499.373535,28.65691948,54.69813538,84.2673858,124.8964233,0.046348667
28,0.095885443,1499.278076,28.70902252,54.25931549,69.67671604,75.70225525,0.045315655
28,-0.688639774,1501.174438,28.7443409,53.71363068,65.83241043,42.27459717,0.045417427
28,6.801374158,1500.310425,28.75105095,53.4450264,147.215819,400.4065247,0.046849164
28,11.15834397,1500.896606,28.64730263,52.90201187,208.0179234,599.8977051,0.049703962
28,20.03264613,1499.13916,28.6217308,52.62831879,352.5320923,1000.219604,0.054270451
29,9.88,1500,27.79,53.4,242,400.35,0.12
29,5.86,1499,27.85,53.19,185,299.22,0.0965
29,3.3,1499,27.98,53.54,133,200.66,0.092
29,1.75,1500,28.11,54.49,91.4,126.15,0.0981
29,0.151,1500,28.1,55.54,70,74.57,0.112
29,-0.895,1500,28.04,56.67,47.4,35.77,0.127
29,11.1,1500,27.98,57.35,249,400.67,0.142
29,18,1500,27.81,57.75,378,600.65,0.161
29,25.5,1501,27.88,58.07,697,1001.1,0.171
30,12.94013637,1501.28064,27.94173622,52.57154083,175.3808431,399.9648132,0.10682658
30,7.845236509,1501.300781,28.11032486,52.51483536,134.3805497,299.8435059,0.086395343
30,4.462849828,1500.69519,28.1288662,52.71596909,104.3056432,200.6808167,0.085030485
30,2.24539003,1499.425659,28.17580986,53.0777626,79.17241376,124.9516907,0.092722862
30,0.498289401,1500.752197,28.19486618,53.48468399,65.15638968,75.61555481,0.107762786
30,-0.841066192,1499.936035,28.22775269,53.87630463,54.07341332,43.22854614,0.122845392
30,15.01815784,1501.571411,28.220644,54.23797226,188.6792016,399.7168274,0.135969869
30,19.62391501,1499.545288,28.29250717,54.12770081,258.4313563,599.2666626,0.106639461
30,28.02354737,1501.028076,28.52612495,54.12054825,423.9403866,1000.685059,0.088474226
31,5.962634997,1498.470581,28.07720566,52.87758636,216.8351799,399.5302734,0.058669782
31,3.408761772,1499.622681,28.2720623,52.58190536,183.4190594,299.7584229,0.053201123
31,1.170180973,1498.275146,28.37254715,52.54287338,152.123729,200.1365204,0.046727574
31,-0.09163357,1498.454346,28.44456482,52.60048294,124.264211,124.9263,0.042586239
31,-0.931693513,1500.065796,28.44088936,52.7866478,110.6010072,75.54608154,0.040662052
31,-1.36615713,1500.872925,28.52077293,52.55369949,96.01465519,42.90364838,0.041083258
31,4.114434442,1499.009644,28.62595367,52.43856049,216.4857409,400.4430237,0.03958452
31,6.511827977,1501.352661,28.59457016,52.9274025,292.7930395,599.3427734,0.037185487
31,10.90153456,1497.892212,28.61562347,53.10084534,436.9202402,999.7928467,0.033564591
32,22.4,1500,27.17,53.65,249,399.79,0.343
32,14.5,1499,27.42,53.37,181,299.23,0.267
32,8,1500,27.45,53.67,124,200.4,0.22
32,3.39,1500,27.52,53.47,90.5,125.92,0.203
32,0.765,1500,27.52,53.47,65.4,74.76,0.2
32,-1.34,1502,27.42,53.69,47.1,35.49,0.204
32,17.2,1498,27.44,53.35,230,401.78,0.205
32,25.4,1500,27.37,53.16,348,600.66,0.206
32,36.8,1501,27.37,52.99,626,1001.07,0.203
33,9.71888115,1499.425293,27.45110321,48.58486176,218.9062352,400.2462158,0.10033828
33,6.933713729,1500.367065,27.38033867,48.9996376,168.926519,300.4125061,0.098758468
33,3.919862698,1499.717529,27.377882,49.33253479,123.9457453,200.0119629,0.097489119
33,1.612000268,1501.278931,27.34581375,49.81307602,92.48582835,125.3236237,0.096591784
33,-0.060756494,1499.677612,27.44517899,50.19001007,74.02374022,75.27293396,0.096622028
33,-1.034821363,1500.963623,27.54567719,50.41949463,59.93082723,42.70235443,0.096734467
33,10.222861,1501.469604,27.52014732,51.41099548,203.6676701,400.5693359,0.096046168
33,15.83180442,1497.784424,27.58130264,51.67940903,294.9731755,600.0565186,0.095753335
33,24.76343538,1500.168091,27.66620445,52.2444191,522.1508656,1000.514954,0.095913935
34,16.7,1500,27.02,52.42,258,399.63,0.255
34,11.3,1500,27.15,52.58,192,299.12,0.221
34,6.32,1499,27.23,52.77,134,199.82,0.199
34,2.98,1501,27.16,53.11,93.5,125.78,0.197
34,0.537,1500,27.3,52.9,67.5,74.67,0.202
34,-1.27,1501,27.31,52.91,46.4,35.66,0.209
34,15,1501,27.35,52.81,254,401.06,0.214
34,21.8,1501,27.25,53,390,600.36,0.218
34,28.5,1501,27.27,53.23,710,999.92,0.208
35,17.26890065,1499.738525,26.90613365,66.65486145,263.5372636,400.0288086,0.273755396
35,11.5170111,1501.13623,26.96875,68.90485382,198.399049,299.7480774,0.238546389
35,5.944738074,1500.221802,27.06094933,70.65210724,139.0259223,199.9258423,0.199191343
35,2.219900435,1500.96936,27.03350639,72.05448914,99.32267947,125.0661392,0.177554681
35,0.109235366,1501.954956,27.14075661,70.30831909,72.40429519,74.88021851,0.19433615
35,-1.160951127,1500.919067,27.22277832,69.01107788,53.69845962,43.20647049,0.19542921
35,12.98830396,1501.526489,27.27871513,68.14844513,260.1132239,400.1273499,0.186452444
35,18.56689289,1500.415405,27.27996254,68.56681824,390.6747264,599.2598267,0.177547131
35,24.37910104,1499.262817,27.24433136,68.73743439,676.0527524,1000.233276,0.146622131
36,12,1499,28.19,55.55,224,400.92,0.13
36,8.68,1499,28.14,55.2,172,300.05,0.13
36,5.69,1500,28.12,54.92,126,200.14,0.153
36,3.09,1500,28.1,54.65,92.1,125.48,0.198
36,0.683,1500,27.96,54.29,66.9,74.45,0.253
36,-1.48,1499,27.88,54,44.4,35.47,0.311
36,18.7,1501,27.87,53.54,269,401.2,0.329
36,23.8,1500,27.96,53.21,375,600.67,0.222
36,28.5,1500,28.16,52.81,566,1001.01,0.126
37,9.52,1501,28.4,52.69,194,399.88,0.0844
37,4.35,1498,28.55,52.55,152,299.57,0.0524
37,2.6,1501,28.62,52.66,114,201.31,0.0537
37,1.35,1501,28.27,53.27,86.2,124.61,0.0661
37,0.543,1500,28.17,53.63,61.3,74.47,0.0865
37,-0.83,1500,28,53.96,47.3,34.67,0.106
37,12.6,1500,27.96,53.92,219,401.25,0.132
37,17.2,1500,28.06,54.25,301,600.94,0.107
37,15.1,1500,28.57,54.18,400,1000.08,0.0438
38,13.2,1498,28.6,53.24,239,399.99,0.164
38,9.64,1500,28.5,53.72,189,299.5,0.177
38,5.6,1500,28.38,54.3,139,199.76,0.193
38,2.41,1500,28.42,54.79,98.7,124.74,0.208
38,0.262,1500,28.37,55.18,71.2,75.76,0.225
38,-2.14,1501,28.31,55.57,51.3,34.84,0.243
38,15,1498,28.15,55.56,275,402.22,0.26
38,21.2,1501,28.21,55,426,600.72,0.274
38,26.3,1499,28.3,54.26,775,1000.3,0.273
