year,DOY,CO2,Ci,Photo,Cond,Vcmax25,Jmax25,Note,VWCthru75,Ci_swc
2009,183,AC,292.73775,18.553975,0.3668675,135.34475,187.153,,41.54285,NA
2009,197,AC,304.785,30.24965,0.7525325,136.98825,201.6025,,41.92225,303.56425
2009,210,AC,309.282,31.8833,0.8090675,131.26625,212.85075,,39.852725,302.366
2009,224,AC,289.99075,26.58755,0.5486225,134.977,199.083,,35.744775,280.1665
2009,238,AC,303.8375,25.792075,0.6094,131.78075,261.503,,40.4374,281.18775
2009,252,AC,310.87675,21.65465,0.5661075,121.598,224.54825,,38.0538,310.13575
2010,181,AC,244.075,25.079,0.330085,135.34475,187.153,This is taken from 2009's values,39.235925,NA
2010,197,AC,290.6895,33.1889,0.732945,140.449,189.6965,,33.549275,284.331
2010,208,AC,316.431,30.121225,0.8936125,144.78875,203.92825,,38.515025,317.75975
2010,224,AC,300.3095,32.112425,0.7990575,169.79925,241.26925,,30.931425,293.92925
2010,237,AC,253.0055,23.803025,0.3448175,145.17625,248.01675,,33.24765,242.89375
2010,246,AC,278.75,12.533,0.2348125,104.50875,199.60825,,35.376525,NA
2011,200,AC,296.61275,32.547225,0.7093175,145.27625,173.878,,32.41895,285.036
2011,214,AC,273.3085,27.065675,0.5309375,145.75,187.37,average of DOY 201 and 229 (See Vcmax data),28.353275,261.7923333
2011,228,AC,247.416,20.384975,0.2898575,146.24325,200.8735,,28.028775,258.67225
2011,242,AC,237.4395,19.991775,0.2883325,141.94975,229.08775,,29.127725,255.59175
2011,251,AC,272.133,11.4683,0.184205,76.897,151.84975,,29.413975,NA
2009,183,EC,406.793,21.918175,0.2272,124.384,196.3703333,,41.8806,NA
2009,197,EC,438.871,32.023325,0.4735975,110.76225,188.54025,,42.07345,457.31725
2009,210,EC,453.82125,35.814825,0.5726925,108.1745,174.67075,,40.702325,446.66025
2009,224,EC,411.38975,29.46275,0.363475,123.31225,194.372,,39.0031,427.51125
2009,238,EC,435.4725,27.28955,0.385935,111.96725,243.031,,41.0563,381.061
2009,252,EC,454.965,21.646825,0.3677075,118.346,252.88175,,39.29925,457.97525
2010,181,EC,301.21225,27.712975,0.181575,124.384,196.3703333,This is taken from 2009's values,39.98335,NA
2010,197,EC,418.59275,39.98055,0.5614725,144.214,192.5265,,33.898175,419.319
2010,208,EC,474.84325,35.328275,0.6884175,119.13525,180.87925,,37.487025,479.547
2010,224,EC,444.69575,37.7403,0.59635,150.50075,241.32825,,28.244025,440.5595
2010,237,EC,359.53025,25.1939,0.23475,121.96125,244.04525,,29.6802,324.8755
2010,246,EC,392.92425,16.758875,0.1716825,95.03275,221.4065,,32.717125,NA
2011,200,EC,451.1915,39.557325,0.592295,129.143,175.81325,,32.243075,421.685
2011,214,EC,370.14075,33.464975,0.3408425,131.86,191.39,average of DOY 201 and 229 (See Vcmax data),26.35625,315.2635
2011,228,EC,330.4135,24.153175,0.1821825,134.57775,206.965,,26.175025,334.787
2011,242,EC,332.1885,22.9197,0.1920275,107.634,197.1495,,28.37015,303.84375
2011,251,EC,423.18075,13.882725,0.1622775,73.3065,156.47125,,29.0944,NA
