ring,year,doy,depth,sm
17,2004,176,1,34.8162
17,2004,182,1,28.4682
17,2004,190,1,38.006
17,2004,194,1,39.4402
17,2004,197,1,37.8545
17,2004,202,1,33.8572
17,2004,205,1,29.8606
17,2004,209,1,26.5607
17,2004,216,1,25.6184
17,2004,222,1,22.6907
17,2004,230,1,16.3977
17,2004,236,1,19.3058
17,2004,240,1,37.4579
17,2004,252,1,29.0995
17,2004,257,1,25.5467
17,2004,259,1,34.6562
17,2004,265,1,33.123
17,2004,271,1,30.5224
17,2004,274,1,29.2477
24,2004,176,1,24.0077
24,2004,182,1,18.5774
24,2004,190,1,36.2549
24,2004,194,1,37.1741
24,2004,197,1,36.0156
24,2004,202,1,30.6638
24,2004,205,1,24.1038
24,2004,209,1,19.1155
24,2004,216,1,21.1588
24,2004,222,1,16.9235
24,2004,230,1,16.3215
24,2004,236,1,20.636
24,2004,240,1,37.9662
24,2004,252,1,20.013
24,2004,257,1,17.5793
24,2004,259,1,32.1202
24,2004,265,1,29.0347
24,2004,271,1,23.3822
24,2004,274,1,22.2828
25,2004,176,1,30.3761
25,2004,182,1,25.6142
25,2004,190,1,36.5873
25,2004,194,1,37.3351
25,2004,197,1,36.4202
25,2004,202,1,34.1277
25,2004,205,1,30.8009
25,2004,209,1,27.0269
25,2004,216,1,28.5559
25,2004,222,1,24.1587
25,2004,230,1,18.4779
25,2004,236,1,23.012
25,2004,240,1,38.4243
25,2004,252,1,27.5021
25,2004,257,1,26.5318
25,2004,259,1,37.4596
25,2004,265,1,33.3489
25,2004,271,1,28.8925
25,2004,274,1,27.8046
32,2004,176,1,29.8267
32,2004,182,1,22.611
32,2004,190,1,34.5475
32,2004,194,1,35.9211
32,2004,197,1,36.3456
32,2004,202,1,31.2212
32,2004,205,1,24.0724
32,2004,209,1,21.9047
32,2004,216,1,22.7317
32,2004,222,1,18.5557
32,2004,230,1,17.1059
32,2004,236,1,21.3947
32,2004,240,1,38.5679
32,2004,252,1,24.8452
32,2004,257,1,23.5299
32,2004,259,1,32.5788
32,2004,265,1,30.6811
32,2004,271,1,26.9407
32,2004,274,1,25.6302
17,2004,176,2,42.4614
17,2004,182,2,37.3808
17,2004,190,2,41.3051
17,2004,194,2,42.2969
17,2004,197,2,41.9176
17,2004,202,2,41.1423
17,2004,205,2,39.0526
17,2004,209,2,34.0488
17,2004,216,2,29.7234
17,2004,222,2,27.1568
17,2004,230,2,22.041
17,2004,236,2,25.4087
17,2004,240,2,41.7631
17,2004,252,2,38.1751
17,2004,257,2,33.6873
17,2004,259,2,41.3752
17,2004,265,2,40.7287
17,2004,271,2,40.2245
17,2004,274,2,39.7255
24,2004,176,2,42.0696
24,2004,182,2,27.9308
24,2004,190,2,42.1235
24,2004,194,2,43.3714
24,2004,197,2,42.7245
24,2004,202,2,42.825
24,2004,205,2,38.9468
24,2004,209,2,29.4114
24,2004,216,2,27.7809
24,2004,222,2,21.8754
24,2004,230,2,20.8114
24,2004,236,2,24.0623
24,2004,240,2,42.0404
24,2004,252,2,32.1587
24,2004,257,2,25.8484
24,2004,259,2,39.3621
24,2004,265,2,39.8573
24,2004,271,2,38.8786
24,2004,274,2,38.3307
25,2004,176,2,40.2985
25,2004,182,2,35.6307
25,2004,190,2,39.2272
25,2004,194,2,40.544
25,2004,197,2,40.1633
25,2004,202,2,39.9795
25,2004,205,2,39.0347
25,2004,209,2,35.5712
25,2004,216,2,34.3611
25,2004,222,2,29.6994
25,2004,230,2,23.7813
25,2004,236,2,27.1812
25,2004,240,2,40.6669
25,2004,252,2,38.2347
25,2004,257,2,35.5278
25,2004,259,2,40.2488
25,2004,265,2,39.6271
25,2004,271,2,37.9527
25,2004,274,2,37.3432
32,2004,176,2,37.095
32,2004,182,2,30.3523
32,2004,190,2,35.2055
32,2004,194,2,36.4869
32,2004,197,2,37.0412
32,2004,202,2,37.8071
32,2004,205,2,31.0405
32,2004,209,2,28.0388
32,2004,216,2,25.3251
32,2004,222,2,21.4177
32,2004,230,2,21.0484
32,2004,236,2,22.719
32,2004,240,2,42.217
32,2004,252,2,35.9703
32,2004,257,2,30.3065
32,2004,259,2,36.2372
32,2004,265,2,37.6684
32,2004,271,2,35.3461
32,2004,274,2,34.0793
17,2004,176,3,42.4612
17,2004,182,3,41.9319
17,2004,190,3,41.565
17,2004,194,3,42.2257
17,2004,197,3,41.9193
17,2004,202,3,41.8085
17,2004,205,3,41.7285
17,2004,209,3,39.6997
17,2004,216,3,37.8155
17,2004,222,3,33.0993
17,2004,230,3,29.7782
