sp,A370,A550,temp,RH,par,,
palba,-1.9214,-0.524017,15.2249,2.02031,35.1937,,
palba,10.131,11.7031,16.3789,3.17424,69.7932,,
palba,12.4017,17.8166,24.7121,13.4447,1469.82,,
palba,9.78166,20.262,29.3641,15.5681,1487.41,,
palba,12.2271,23.5808,31.1043,18.082,1607.85,,
palba,11.179,21.1354,32.442,21.5586,1797.62,,
palba,11.0044,23.7555,32.6147,23.2906,1858.6,,
palba,10.3057,20.6114,32.6013,24.2444,1738.99,,
palba,7.51092,18.3406,32.0084,23.0683,1671.07,,
palba,8.38428,12.7511,31.4163,22.0759,1259.18,,
palba,10.131,7.86026,30.0437,21.0991,1070.73,,
palba,3.66812,8.73362,28.6756,18.1798,976.741,,
palba,-0.524017,-2.09607,25.7526,16.8102,40,,
palba,-1.39738,-2.44541,23.9961,15.445,33.51,,
pnigra,-0.176211,0,15.2249,2.02031,35.1937,,
pnigra,4.22907,10.7489,16.3789,3.17424,69.7932,,
pnigra,19.3833,26.4317,24.7121,13.4447,1469.82,,
pnigra,14.978,21.674,29.3641,15.5681,1487.41,,
pnigra,15.859,26.4317,31.1043,18.082,1607.85,,
pnigra,14.4493,23.2599,32.442,21.5586,1797.62,,
pnigra,18.1498,29.7797,32.6147,23.2906,1858.6,,
pnigra,16.5639,20.793,32.6013,24.2444,1738.99,,
pnigra,13.0396,20.0881,32.0084,23.0683,1671.07,,
pnigra,12.3348,22.2026,31.4163,22.0759,1259.18,,
pnigra,14.4493,16.5639,30.0437,21.0991,1070.73,,
pnigra,8.81057,13.2159,28.6756,18.1798,976.741,,
pnigra,2.99559,-0.528634,25.7526,16.8102,40,,
pnigra,-1.76211,-1.40969,23.9961,15.445,33.51,,
peura,-1.05727,-1.23348,15.2249,2.02031,35.1937,,
peura,9.51542,17.9736,16.3789,3.17424,69.7932,,
peura,20.4405,24.3172,24.7121,13.4447,1469.82,,
peura,22.7313,29.6035,29.3641,15.5681,1487.41,,
peura,18.1498,27.489,31.1043,18.082,1607.85,,
peura,20.9692,27.489,32.442,21.5586,1797.62,,
peura,20.2643,29.7797,32.6147,23.2906,1858.6,,
peura,17.7974,20.2643,32.6013,24.2444,1738.99,,
peura,21.8502,27.1366,32.0084,23.0683,1671.07,,
peura,9.69163,18.1498,31.4163,22.0759,1259.18,,
peura,13.3921,19.0308,30.0437,21.0991,1070.73,,
peura,9.163,17.0925,28.6756,18.1798,976.741,,
peura,4.05286,-1.40969,25.7526,16.8102,40,,
peura,-1.76211,-2.81938,23.9961,15.445,33.51,,
