"","year","day","solarR","Tmax","Tmin","Tavg","RHmax","RHmin","RHavg","WS","precip"
"1",1996,1,3.13415999999999,-4.37,-5.13999999999999,-6.5,1,0.88,0.96875,7.67861989222186,0.0156046931999999
"2",1996,2,3.58883999999999,-4.80000000000007,-5.60000000000002,-8.25375000000003,0.97,0.85,0.93,6.27852130524359,0.0206645256000001
"3",1996,3,5.08248,-6.61000000000001,-7.92000000000002,-9.46000000000004,0.99,0.75,0.86625,8.60782205413398,0.00756848880000005
"4",1996,4,5.22611999999999,-7.40000000000003,-8.61000000000001,-17.71875,1,0.84,0.9225,3.06857446558405,0.00442203839999992
"5",1996,5,5.30711999999999,-8.07000000000005,-9.03000000000003,-11.79,1,0.74,0.88625,9.12630019333142,0
"6",1996,6,5.32655999999999,-3.38,-5.23000000000002,-7.25500000000005,1,0.79,0.87625,13.7051875921194,0.00195590159999982
"7",1996,7,4.77791999999999,0.479999999999961,-0.870000000000005,-1.61875000000003,0.9,0.84,0.87875,11.1474969233536,4.25195999999319e-05
"8",1996,8,3.10715999999999,0.71999999999997,0.539999999999964,-0.335000000000036,1,0.87,0.9525,3.09477605657556,0.0599101163999999
"9",1996,9,5.37515999999999,0.349999999999966,-0.860000000000014,-1.29750000000001,1,0.81,0.955,8.30185303089917,0.000807872399999997
"10",1996,10,5.24339999999999,0.089999999999975,-0.560000000000059,-1.64625000000001,1,0.83,0.92375,9.38821871504225,4.25195999999319e-05
"11",1996,11,5.25527999999999,1.28999999999996,0.819999999999936,0.568749999999966,0.97,0.8,0.89625,10.0908491100108,0
"12",1996,12,5.53499999999999,1.32999999999998,0.75,0.30499999999995,0.97,0.74,0.86375,8.48914337601689,0
"13",1996,13,5.65703999999999,0.339999999999975,-1.16000000000003,-3.62625000000003,1,0.82,0.91375,4.31647951462602,0
"14",1996,14,5.83631999999999,-0.960000000000036,-2.44000000000005,-4.49374999999998,0.97,0.66,0.85625,7.52858342803639,0
"15",1996,15,5.99507999999999,-3.31000000000006,-4.56000000000006,-9.69749999999999,1,0.79,0.9325,5.22940104356252,0
"16",1996,16,6.30503999999999,-4.73000000000002,-18.86,-17.90375,1,0.65,0.85375,2.18965398210038,0
"17",1996,17,6.32555999999999,-5.20000000000005,-7.38,-8.90499999999997,1,0.62,0.84125,5.56528008190942,0
"18",1996,18,5.63651999999999,-5.05000000000007,-9.82000000000005,-12.28125,1,0.68,0.92,2.34755521335271,0
"19",1996,19,6.05879999999999,-7.04000000000002,-8.32000000000005,-10.7675,1,0.84,0.93875,4.04006908756203,0.0166676831999999
"20",1996,20,6.40439999999999,-7.92000000000002,-9.13,-10.32125,0.98,0.77,0.91625,8.71816720810818,0.00425196000000001
"21",1996,21,6.68844,-7.24000000000001,-8.77000000000004,-10.0075000000001,1,0.8,0.94375,8.06134964269098,0.00204094080000005
"22",1996,22,6.89147999999999,-7.38999999999999,-8.87,-10.54625,0.99,0.8,0.92125,9.10728820696478,8.50392000000482e-05
"23",1996,23,6.88067999999999,-6.5,-6.99000000000001,-8.92000000000002,1,0.93,0.97625,15.6028993477552,0.0162850068000003
"24",1996,24,5.91623999999999,-7.61000000000001,-8.25999999999999,-11.715,1,0.72,0.92,19.6141083639232,0.0201117708000002
"25",1996,25,5.66999999999999,-8.31000000000006,-8.97000000000003,-13.42375,1,0.62,0.86375,15.4900484077968,0.0454534524
"26",1996,26,6.16139999999999,-5.94000000000005,-7.38,-11.3462500000001,0.97,0.79,0.88625,10.7772649094358,0.00965194919999984
"27",1996,27,5.76288,-6.10000000000002,-6.61000000000001,-9.60375000000005,0.98,0.75,0.8975,8.30488851088303,0.00586770480000019
"28",1996,28,4.96799999999999,-5.88999999999999,-6.54000000000002,-8.25250000000005,1,0.86,0.93375,7.84431005837445,0.0328251312000003
"29",1996,29,7.40231999999999,-4.30000000000007,-6.22000000000003,-7.59625000000005,1,0.86,0.94375,9.03319459030206,0.00522991079999992
"30",1996,30,7.96715999999999,-6.40000000000003,-9.02000000000004,-10.0812500000001,1,0.61,0.89125,7.32977801555581,0.00148818600000001
"31",1996,31,8.20475999999999,-7.49000000000001,-13.4300000000001,-16.6525,0.99,0.51,0.80625,2.79667262043601,0
"32",1996,32,8.41103999999999,-5.30000000000007,-5.96000000000004,-7.77375000000006,0.91,0.49,0.7175,9.79373146429551,0
"33",1996,33,8.30519999999999,-1.42000000000002,-3.16000000000003,-5.12,1,0.8,0.90875,9.14104647284067,0
"34",1996,34,6.65171999999999,0.139999999999986,-2.08000000000004,-3.70000000000005,1,0.65,0.84125,6.79061595806049,0.00110550960000007
"35",1996,35,8.23823999999999,-5.20000000000005,-8.5,-10.84125,1,0.87,0.92875,4.58680772286629,0
"36",1996,36,8.71235999999999,-6.91000000000003,-11.85,-14.68375,1,0.68,0.88375,2.77915703912032,0.00484723440000016
"37",1996,37,8.96075999999999,-9.40000000000003,-11.52,-13.94625,1,0.55,0.8075,8.92575391045232,0.000850391999999928
"38",1996,38,9.48995999999999,-10.4,-11.71,-14,1,0.67,0.87,9.47816240137046,0.00012755879999998
"39",1996,39,9.42731999999999,-8.86000000000001,-10.6,-13.165,1,0.7,0.92375,7.22687210968371,0.00157322520000006
"40",1996,40,9.83663999999998,-9.98000000000002,-12.1800000000001,-18.6425,1,0.54,0.77375,3.4710271062871,0.000467715599999988
"41",1996,41,9.40247999999999,-6.85000000000002,-7.88999999999999,-11.0875000000001,1,0.7,0.85125,7.81288375731721,0
"42",1996,42,7.97904,-0.930000000000064,-1.54000000000002,-3.34750000000003,1,0.88,0.96375,9.61032147636706,0.0006377939999999
"43",1996,43,9.72107999999999,0.20999999999998,-0.450000000000045,-1.17875000000004,1,0.7,0.9075,15.0333154635223,0.0108850176000001
"44",1996,44,8.52767999999999,0.339999999999975,0.089999999999975,-4.11125000000004,1,0.81,0.8725,5.32585945110531,0.019346418
"45",1996,45,8.08055999999999,-1.38999999999999,-2.38999999999999,-3.82625000000002,0.99,0.82,0.91875,12.6367550913903,0.0682864776000001
"46",1996,46,10.68768,-5.48000000000002,-7.13999999999999,-7.95500000000004,0.99,0.74,0.84625,6.59298051526831,0.00705825359999994
"47",1996,47,6.10199999999999,1.95999999999998,1.22999999999996,-0.765000000000043,0.99,0.79,0.90375,19.7860484788373,0.0714754476000002
"48",1996,48,9.30419999999999,1.19999999999993,0.759999999999991,-0.189999999999998,0.92,0.74,0.8275,17.9407679908882,0.0473243148000002
"49",1996,49,8.76527999999999,1.32999999999998,1.01999999999998,-0.0575000000000045,0.96,0.67,0.825,15.3155126001837,0.1409949936
"50",1996,50,9.72972,1.03999999999996,0.319999999999936,-0.805000000000064,0.92,0.8,0.8575,5.02012476942638,0.0587195676
"51",1996,51,11.21688,-0.00999999999999091,-1.31000000000006,-2.79250000000002,1,0.85,0.91125,9.7323820627904,0.0110976156000001
"52",1996,52,12.0312,-5.05000000000007,-7.69000000000005,-9.255,1,0.68,0.8275,8.61232641497646,0.00378424440000002
