"absorbed_longwave","alpha","canopy_assimilation_rate","canopy_conductance","canopy_height","canopy_photorespiration_rate","canopy_transpiration_rate","cosine_zenith_angle","cws1","cws2","doy","gbw_canopy","gmst","Grain","GrossAssim","hour","julian_date","kGrain","kLeaf","kRhizome","kRoot","kStem","lai","Leaf","leafdeathrate","LeafLitter","LeafWS","lha","lmst","ncalls","net_assimilation_rate_grain","net_assimilation_rate_leaf","net_assimilation_rate_rhizome","net_assimilation_rate_root","net_assimilation_rate_stem","precip","rh","Rhizome","rhizome_senescence_index","RhizomeLitter","Root","root_senescence_index","RootLitter","Shell","soil_evaporation_rate","soil_water_content","solar","solar_azimuth_angle","solar_dec","solar_ell","solar_ep","solar_g","solar_L","solar_ra","solar_zenith_angle","Sp","Stem","stem_senescence_index","StemLitter","StomataWS","temp","time","time_zone_offset","TTc","vmax","windspeed","year","nrow"
325.57,0,-3.737e-06,0.00176,0.0073333,0,0.0017662,-0.56247,0.32,0.32,123,0.0062127,20.749,0,0,0,2453500,0,0.98,-8e-04,0.01,0.01,0.022,0.02,5,0,1,182.78,14.883,4296,0,0,0,0,0,0,0.68,0.99,0,0,1,0,0,0,7.0021,0.32,0,363.24,15.713,42.911,23.438,118.22,41.24,40.461,124.23,1.1,0.99,0,0,1,2.12,2928,-6,0,100,3.22,2005,4296
346.89,0,-1.0237e-05,0.0036405,0.015488,0,0.0095246,-0.55825,0.30999,0.32,124,0.005,20.815,0,0,0,2453500,0,0.98,-8e-04,0.01,0.01,0.046463,0.042239,5,0,0.98442,182.8,14.948,4296,0,0,0,0,0,0,0.34,0.97117,24,0,1.0002,0,0,0,6.5957,0.3175,0,363.25,16.004,43.881,23.438,119.2,42.226,41.423,123.93,1.1,0.99023,0,0,0.97914,6.52,2952,-6,7.425,100,1.84,2005,4296
356.97,0,-1.9308e-05,0.0056842,0.024621,0,0.017317,-0.55408,0.30151,0.32,125,0.010363,20.881,0,0,0,2453500,0,0.98,-8e-04,0.01,0.01,0.073862,0.067148,5,0,0.97131,182.83,15.014,4296,0,0,0,0,0,0,0.44,0.95269,48,0,1.0005,0,0,0,10.521,0.31538,0,363.26,16.291,44.85,23.438,120.19,43.212,42.386,123.65,1.1,0.99048,0,0,0.96147,8.53,2976,-6,18.755,100,4.06,2005,4296
366.55,0,-3.1364e-05,0.0078218,0.034773,0,0.024304,-0.54996,0.28949,0.32,126,0.012066,20.947,0,0,0,2453500,0,0.98,-8e-04,0.01,0.01,0.10432,0.094835,5,0,0.9529,182.85,15.08,4296,0,0,0,0,0,0,0.51,0.93457,72,0,1.0008,0,0,0,11.486,0.31237,0,363.27,16.574,45.818,23.438,121.17,44.197,43.352,123.36,1.1,0.99077,0,0,0.93645,10.4,3000,-6,33.164,100,4.33,2005,4296
400.78,0,-6.3544e-05,0.0098796,0.04551,0,0.0463,-0.5459,0.27359,0.32,127,0.019392,21.012,0,0,0,2453500,0,0.98,-8e-04,0.01,0.01,0.13653,0.12412,5,0,0.9288,182.86,15.146,4296,0,0,0,0,0,0,0.54,0.91679,96,0,1.0011,0,0,0,17.233,0.3084,0,363.27,16.851,46.786,23.438,122.16,45.183,44.32,123.09,1.1,0.99108,0,0,0.90331,16.8,3024,-6,50.714,100,6.48,2005,4296
400.78,0,-7.9787e-05,0.01209,0.057716,0,0.046289,-0.54189,0.25816,0.32,128,0.011788,21.078,0,0,0,2453500,0,0.98,-8e-04,0.01,0.01,0.17315,0.15741,5,0,0.90571,182.88,15.211,4296,0,0,0,0,0,0,0.59,0.89934,120,0,1.0014,0,0,0,12.651,0.30454,0,363.27,17.124,47.754,23.438,123.14,46.169,45.291,122.81,1.1,0.99143,0,0,0.87117,16.8,3048,-6,71.805,100,3.69,2005,4296
408.01,0,-0.00010801,0.014212,0.070625,0,0.058836,-0.53795,0.24148,0.32,129,0.016847,21.144,0,0,0,2453500,0,0.98,-8e-04,0.01,0.01,0.21188,0.19261,5,0,0.88108,182.89,15.277,4296,0,0,0,0,0,0,0.62,0.88224,144,0,1.0018,0,0,0,14.866,0.30037,0,363.27,17.393,48.721,23.438,124.13,47.154,46.264,122.54,1.1,0.99181,0,0,0.83642,18.1,3072,-6,93.585,100,4.98,2005,4296
400.23,0,-0.0001188,0.015951,0.082255,0,0.026341,-0.53406,0.22667,0.32,130,0.017118,21.209,0,0,0,2453500,0,0.98,-8e-04,0.01,0.01,0.24677,0.22433,5,0,0.85948,182.9,15.343,4296,0,0,0,0,0,0,0.84,0.86545,168,0,1.0021,0,0,0,13.631,0.29667,0,363.27,17.656,49.688,23.438,125.12,48.14,47.239,122.28,1.1,0.99216,0,0,0.80556,16.7,3096,-6,113.71,100,4.84,2005,4296
421.63,0,-0.00017471,0.018229,0.096868,0,0.06944,-0.53024,0.21505,0.32,131,0.017011,21.275,0,0,0,2453500,0,0.98,-8e-04,0.01,0.01,0.2906,0.26419,5,0,0.84274,182.91,15.408,4296,0,0,0,0,0,0,0.7,0.84899,192,0,1.0025,0,0,0,14.434,0.29376,0,363.27,17.915,50.654,23.438,126.1,49.126,48.217,122.02,1.1,0.99261,0,0,0.78136,20.5,3120,-6,136.85,100,4.58,2005,4296
368.1,0,-0.00010833,0.020538,0.11114,0,0.0093466,-0.52649,0.2082,0.32,132,0.037503,21.341,0,0,0,2453500,0,0.98,-8e-04,0.01,0.01,0.33341,0.3031,5,0,0.83294,182.91,15.474,4296,0,0,0,0,0,0.0106,0.94,0.83284,216,0,1.003,0,0,0,14.616,0.29205,0,363.26,18.168,51.62,23.438,127.09,50.111,49.197,121.77,1.1,0.99305,0,0,0.76709,10.7,3144,-6,157.26,100,9.68,2005,4296
383.91,0,-0.00015218,0.0234,0.12804,0,0.031625,-0.5228,0.20405,0.32,133,0.023899,21.406,0,0,0,2453500,0,0.98,-8e-04,0.01,0.01,0.38412,0.3492,5,0,0.82704,182.92,15.54,4296,0,0,0,0,0,0,0.85,0.81699,240,0,1.0035,0,0,0,12.334,0.29101,0,363.25,18.417,52.585,23.438,128.07,51.097,50.18,121.52,1.1,0.99358,0,0,0.75845,13.7,3168,-6,172.33,100,5.9,2005,4296
400.23,0,-0.00020261,0.026115,0.14386,0,0.056534,-0.51918,0.20159,0.32,134,0.0089154,21.472,0,0,0,2453500,0,0.98,-8e-04,0.01,0.01,0.43157,0.39234,5,0,0.82354,182.92,15.606,4296,0,0,0,0,0,0,0.76,0.80145,264,0,1.004,0,0,0,7.9205,0.2904,0,363.24,18.66,53.55,23.438,129.06,52.082,51.165,121.28,1.1,0.99408,0,0,0.75332,16.7,3192,-6,191.14,100,2.12,2005,4296
354.5,0,-0.0001272,0.028928,0.15977,0,0.054271,-0.51563,0.20063,0.32,135,0.017498,21.538,0,0,0,2453500,0,0.98,-8e-04,0.01,0.01,0.4793,0.43573,5,0,0.82218,182.92,15.671,4296,0,0,0,0,0,0,0.69,0.7862,288,0,1.0045,0,0,0,7.6326,0.29016,0,363.22,18.898,54.514,23.438,130.04,53.068,52.152,121.04,1.1,0.99459,0,0,0.75131,8.04,3216,-6,206.23,100,4.02,2005,4296
362.17,0,-0.00015528,0.031999,0.17692,0,0.080052,-0.51215,0.20024,0.32,136,0.015719,21.604,0,0,0,2453500,0,0.98,-8e-04,0.01,0.01,0.53076,0.48251,5,0,0.82162,182.91,15.737,4296,0,0,0,0,0,0,0.62,0.77124,312,0,1.005,0,0,0,7.3335,0.29006,0,363.2,19.13,55.479,23.438,131.03,54.054,53.142,120.81,1.1,0.99514,0,0,0.75049,9.55,3240,-6,216.68,100,3.49,2005,4296
371.22,0,-0.00019812,0.036011,0.19923,0,0.085971,-0.50875,0.2,0.32,137,0.017545,21.669,0,0,0,2453500,0,0.98,-8e-04,0.01,0.01,0.5977,0.54336,5,0,0.82128,182.91,15.803,4296,0,0,0,0,0,0,0.68,0.75657,336,0,1.0057,0,0,0,7.7771,0.29,0,363.19,19.358,56.442,23.438,132.01,55.039,54.134,120.58,1.1,0.99586,0,0,0.74999,11.3,3264,-6,229.38,100,3.74,2005,4296
379.65,0,-0.00024844,0.040496,0.22405,0,0.10834,-0.50542,0.19999,0.32,138,0.019847,21.735,0,0,0,2453500,0,0.98,-8e-04,0.01,0.01,0.67215,0.61104,5,0,0.82128,182.9,15.868,4296,0,0,0,0,0,0,0.68,0.74218,360,0,1.0065,0,0,0,8.1798,0.29,0,363.16,19.58,57.406,23.438,133,56.025,55.128,120.36,1.1,0.99667,0,0,0.74999,12.9,3288,-6,245.79,100,4.06,2005,4296
418.19,0,-0.00042394,0.044446,0.2459,0,0.26415,-0.50217,0.19999,0.32,139,0.023048,21.801,0,0,0,2453500,0,0.98,0.007,0.003,0.01,0.73771,0.67065,5,0,0.82127,182.89,15.934,4296,0,0,0,0,0,0.783,0.54,0.7372,369,0,1.0068,0,0,0,10.424,0.29,0,363.14,19.796,58.369,23.438,133.99,57.011,56.124,120.14,1.1,0.9974,0,0,0.74997,19.9,3312,-6,265.19,100,4.56,2005,4296
390.92,0,-0.00034567,0.04871,0.2656,0,0.010783,-0.499,0.20536,0.32,140,0.010501,21.866,0,0,0,2453500,0,0.98,0.007,0.003,0.01,0.79679,0.72435,5,0,0.8289,182.87,16,4296,0,0,0,0,0,0.0106,0.97,0.73763,369,0,1.007,0,0,0,5.6962,0.29134,0,363.12,20.006,59.331,23.438,134.97,57.996,57.123,119.93,1.1,0.99806,0,0,0.76117,15,3336,-6,285.62,100,2.02,2005,4296
375.94,0,-0.00030318,0.051322,0.28131,0,0.036896,-0.49591,0.20343,0.32,141,0.018747,21.932,0,0,0,2453500,0,0.98,0.007,0.003,0.01,0.84392,0.7672,5,0,0.82615,182.86,16.066,4296,0,0,0,0,0,0.0106,0.91,0.73799,369,0,1.0072,0,0,0,6.6034,0.29086,0,363.09,20.211,60.293,23.438,135.96,58.982,58.124,119.73,1.1,0.99859,0,0,0.75714,12.2,3360,-6,301.23,100,3.53,2005,4296
397.47,0,-0.00042318,0.055419,0.30491,0,0.12069,-0.4929,0.20204,0.32,142,0.015164,21.998,0,0,0,2453500,0,0.98,0.007,0.003,0.01,0.91473,0.83158,5,0,0.82418,182.84,16.131,4296,0,0,0,0,0,0,0.78,0.73852,369,0,1.0074,0,0,0,6.4134,0.29051,0,363.06,20.411,61.255,23.438,136.94,59.968,59.128,119.53,1.1,0.99939,0,0,0.75424,16.2,3384,-6,318.11,100,2.77,2005,4296
399.67,0,-0.00046824,0.06038,0.33354,0,0.24599,-0.48998,0.20056,0.32,143,0.020004,22.064,0,0,0,2453500,0,0.98,0.007,0.003,0.01,1.0006,0.90965,5,0,0.82209,182.82,16.197,4296,0,0,0,0,0,0,0.61,0.73916,369,0,1.0077,0,0,0,6.9275,0.29014,0,363.03,20.604,62.217,23.438,137.93,60.953,60.133,119.34,1.1,1.0004,0,0,0.75118,16.6,3408,-6,339.1,100,3.53,2005,4296
375.94,0,-0.00038254,0.064592,0.35736,0,0.087369,-0.48714,0.2,0.32,144,0.018689,22.129,0,0,0,2453500,0,0.15,0.105,0.045,0.7,1.0721,0.97462,5,0,0.82128,182.8,16.263,4296,0,0,0,0,0,0,0.83,0.74355,369,0,1.0095,0,0,0,5.3921,0.29,0,363,20.791,63.178,23.438,138.91,61.939,61.141,119.15,1.1,1.0289,0,0,0.74999,12.2,3432,-6,359.15,100,3.21,2005,4296
377,0,-0.00039019,0.065478,0.36226,0,0.14379,-0.48439,0.19999,0.32,145,0.020898,22.195,0,0,0,2453500,0,0.15,0.105,0.045,0.7,1.0868,0.98799,5,0,0.82128,182.77,16.328,4296,0,0,0,0,0,0,0.73,0.75449,369,0,1.0142,0,0,0,5.6776,0.29,0,362.96,20.973,64.138,23.438,139.9,62.925,62.151,118.97,1.1,1.1049,0,0,0.74998,12.4,3456,-6,375.27,100,3.57,2005,4296
390.38,0,-0.00046107,0.06634,0.36703,0,0.24247,-0.48172,0.19999,0.32,146,0.019124,22.261,0,0,0,2453500,0,0.15,0.105,0.045,0.7,1.1011,1.001,5,0,0.82127,182.75,16.394,4296,0,0,0,0,0,0,0.61,0.76514,369,0,1.0188,0,0,0,5.8688,0.29,0,362.93,21.148,65.099,23.438,140.89,63.91,63.163,118.8,1.1,1.1788,0,0,0.74998,14.9,3480,-6,391.65,100,3.25,2005,4296
387.13,0,-0.00044635,0.06711,0.3713,0,0.27382,-0.47915,0.19999,0.32,147,0.019981,22.326,0,0,0,2453500,0,0.15,0.105,0.045,0.7,1.1139,1.0126,5,0,0.82127,182.72,16.46,4296,0,0,0,0,0,0,0.55,0.77459,369,0,1.0229,0,0,0,5.816,0.29,0,362.89,21.318,66.059,23.438,141.87,64.896,64.176,118.63,1.1,1.2449,0,0,0.74997,14.3,3504,-6,409.98,100,3.38,2005,4296
385.52,0,-0.00045213,0.067984,0.37613,0,0.17635,-0.47667,0.19999,0.32,148,0.028284,22.392,0,0,0,2453500,0,0.15,0.105,0.045,0.7,1.1284,1.0258,5,0,0.82128,182.69,16.525,4296,0,0,0,0,0,0,0.72,0.78528,369,0,1.0274,0,0,0,6.7517,0.29,0,362.85,21.481,67.019,23.438,142.86,65.882,65.192,118.47,1.1,1.3198,0,0,0.74998,14,3528,-6,428.18,100,4.76,2005,4296
378.59,0,-0.00040307,0.068884,0.38112,0,0.20489,-0.47428,0.19999,0.32,149,0.0071683,22.458,0,0,0,2453500,0,0.15,0.105,0.045,0.7,1.1433,1.0394,5,0,0.82127,182.66,16.591,4296,0,0,0,0,0,0,0.57,0.79638,369,0,1.0322,0,0,0,3.2079,0.29,0,362.81,21.638,67.978,23.438,143.84,66.867,66.21,118.31,1.1,1.3971,0,0,0.74997,12.7,3552,-6,445.12,100,1.2,2005,4296
404.66,0,-0.00056501,0.069726,0.38577,0,0.24199,-0.47198,0.19999,0.32,150,0.011466,22.524,0,0,0,2453500,0,0.15,0.105,0.045,0.7,1.1573,1.0521,5,0,0.82127,182.62,16.657,4296,0,0,0,0,0,0,0.65,0.80665,369,0,1.0366,0,0,0,4.7107,0.29,0,362.76,21.789,68.937,23.438,144.83,67.853,67.229,118.16,1.1,1.4692,0,0,0.74997,17.5,3576,-6,463.74,100,1.91,2005,4296
396.92,0,-0.00052181,0.070652,0.3909,0,0.35031,-0.46978,0.19998,0.32,151,0.018527,22.589,0,0,0,2453500,0,0.15,0.105,0.045,0.7,1.1727,1.0661,5,0,0.82127,182.59,16.723,4296,0,0,0,0,0,0,0.5,0.81792,369,0,1.0414,0,0,0,5.6603,0.29,0,362.72,21.933,69.896,23.438,145.81,68.838,68.251,118.02,1.1,1.5487,0,0,0.74997,16.1,3600,-6,483.9,100,3.07,2005,4296
406.34,0,-0.00059881,0.071681,0.39659,0,0.32793,-0.46767,0.19998,0.32,152,0.019972,22.655,0,0,0,2453500,0,0.15,0.105,0.045,0.7,1.1898,1.0816,5,0,0.82127,182.55,16.788,4296,0,0,0,0,0,0,0.59,0.83039,369,0,1.0468,0,0,0,6.108,0.29,0,362.67,22.071,70.854,23.438,146.8,69.824,69.274,117.88,1.1,1.6369,0,0,0.74996,17.8,3624,-6,504.42,100,3.29,2005,4296
418.19,0,-0.00069953,0.072583,0.40158,0,0.34862,-0.46566,0.19999,0.32,153,0.024162,22.721,0,0,0,2453500,0,0.15,0.105,0.045,0.7,1.2047,1.0952,5,0,0.82127,182.51,16.854,4296,0,0,0,0,0,0.0317,0.63,0.84125,369,0,1.0514,0,0,0,7.0644,0.29,0,362.63,22.203,71.813,23.438,147.78,70.81,70.298,117.75,1.1,1.7143,0,0,0.74997,19.9,3648,-6,526.35,100,3.96,2005,4296
402.44,0,-0.00060485,0.073069,0.40416,0,0.018054,-0.46375,0.20008,0.32,154,0.0097879,22.786,0,0,0,2453500,0,0.15,0.105,0.045,0.7,1.2125,1.1023,5,0,0.82141,182.47,16.92,4296,0,0,0,0,0,0,0.97,0.84702,369,0,1.0539,0,0,0,4.0877,0.29002,0,362.58,22.328,72.771,23.438,148.77,71.795,71.325,117.63,1.1,1.7542,0,0,0.75017,17.1,3672,-6,544.2,100,1.6,2005,4296
405.22,0,-0.00063114,0.073613,0.40727,0,0.057965,-0.46193,0.2,0.32,155,0.020558,22.852,0,0,0,2453500,0,0.15,0.105,0.045,0.7,1.2218,1.1107,5,0,0.82128,182.43,16.985,4296,0,0,0,0,0,0,0.93,0.85389,369,0,1.0568,0,0,0,5.9728,0.29,0,362.53,22.447,73.728,23.438,149.76,72.781,72.352,117.51,1.1,1.8023,0,0,0.74999,17.6,3696,-6,563.83,100,3.35,2005,4296
443.88,0,-0.0009646,0.074568,0.41257,0,0.34243,-0.46022,0.19998,0.32,156,0.037139,22.918,0,0,0,2453500,0,0.15,0.105,0.045,0.7,1.2377,1.1252,5,0,0.82127,182.39,17.051,4296,0,0,0,0,0,0,0.74,0.86523,369,0,1.0617,0,0,0,9.6262,0.29,0,362.48,22.559,74.686,23.438,150.74,73.767,73.381,117.4,1.1,1.8845,0,0,0.74997,24.3,3720,-6,588.09,100,6.02,2005,4296
436.76,0,-0.00089195,0.075399,0.41717,0,0.44956,-0.45861,0.19998,0.32,157,0.031483,22.984,0,0,0,2453500,0,0.15,0.105,0.045,0.7,1.2515,1.1377,5,0,0.82126,182.34,17.117,4296,0,0,0,0,0,0,0.63,0.87494,369,0,1.0659,0,0,0,8.4881,0.28999,0,362.43,22.665,75.643,23.438,151.73,74.752,74.412,117.3,1.1,1.9558,0,0,0.74996,23.1,3744,-6,615.33,100,5.08,2005,4296
423.93,0,-0.00079419,0.076375,0.42256,0,0.23629,-0.4571,0.19999,0.32,158,0.019501,23.049,0,0,0,2453500,0,0.15,0.105,0.045,0.7,1.2677,1.1524,5,0,0.82127,182.29,17.183,4296,0,0,0,0,0,0,0.77,0.88643,369,0,1.0708,0,0,0,6.1862,0.29,0,362.38,22.764,76.6,23.438,152.71,75.738,75.444,117.2,1.1,2.0394,0,0,0.74997,20.9,3768,-6,640.73,100,3.13,2005,4296
436.76,0,-0.00090391,0.077274,0.42754,0,0.36572,-0.45569,0.19998,0.32,159,0.018031,23.115,0,0,0,2453500,0,0.15,0.105,0.045,0.7,1.2826,1.166,5,0,0.82126,182.25,17.248,4296,0,0,0,0,0,0,0.68,0.89697,369,0,1.0753,0,0,0,6.2541,0.29,0,362.33,22.856,77.556,23.438,153.7,76.724,76.477,117.11,1.1,2.1166,0,0,0.74996,23.1,3792,-6,666.98,100,2.88,2005,4296
418.77,0,-0.00078056,0.078102,0.4321,0,0.10287,-0.45438,0.2,0.32,160,0.024022,23.181,0,0,0,2453500,0,0.15,0.105,0.045,0.7,1.2963,1.1785,5,0,0.82128,182.2,17.314,4296,0,0,0,0,0,0,0.9,0.90664,369,0,1.0794,0,0,0,6.521,0.29,0,362.27,22.942,78.513,23.438,154.68,77.709,77.511,117.03,1.1,2.1873,0,0,0.74999,20,3816,-6,691.58,100,3.82,2005,4296
443.29,0,-0.0010216,0.079105,0.43766,0,0.19052,-0.45318,0.19999,0.32,161,0.017638,23.246,0,0,0,2453500,0,0.15,0.105,0.045,0.7,1.313,1.1936,5,0,0.82128,182.15,17.38,4296,0,0,0,0,0,0.0635,0.85,0.9185,369,0,1.0845,0,0,0,6.2026,0.29,0,362.22,23.02,79.469,23.438,155.67,78.695,78.546,116.95,1.1,2.2734,0,0,0.74998,24.2,3840,-6,716.84,100,2.79,2005,4296
427.98,0,-0.00088771,0.079948,0.44221,0,0.094232,-0.45208,0.20009,0.32,162,0.027937,23.312,0,0,0,2453500,0,0.15,0.105,0.045,0.7,1.3266,1.206,5,0,0.82141,182.1,17.445,4296,0,0,0,0,0,0.0423,0.92,0.92821,369,0,1.0887,0,0,0,7.1778,0.29002,0,362.16,23.093,80.425,23.438,156.65,79.681,79.582,116.88,1.1,2.3439,0,0,0.75018,21.6,3864,-6,742.17,100,4.4,2005,4296
428.56,0,-0.00090072,0.08086,0.4473,0,0.11738,-0.45108,0.20005,0.32,163,0.02367,23.378,0,0,0,2453500,0,0.15,0.105,0.045,0.7,1.3419,1.2199,5,0,0.82136,182.05,17.511,4296,0,0,0,0,0,0,0.9,0.93932,369,0,1.0935,0,0,0,6.5426,0.29001,0,362.11,23.158,81.381,23.438,157.64,80.666,80.619,116.81,1.1,2.4228,0,0,0.7501,21.7,3888,-6,765.27,100,3.71,2005,4296
417.05,0,-0.00080193,0.08158,0.45135,0,0.025868,-0.45019,0.2,0.32,164,0.014665,23.443,0,0,0,2453500,0,0.15,0.105,0.045,0.7,1.354,1.2309,5,0,0.82129,182,17.577,4296,0,0,0,0,0,0,0.97,0.9482,369,0,1.0973,0,0,0,4.8085,0.29,0,362.05,23.217,82.336,23.438,158.63,81.652,81.656,116.76,1.1,2.4855,0,0,0.74999,19.7,3912,-6,787.39,100,2.29,2005,4296
418.19,0,-0.00082182,0.082589,0.45693,0,0.11383,-0.44941,0.2,0.32,165,0.046221,23.509,0,0,0,2453500,0,0.15,0.105,0.045,0.7,1.3708,1.2462,5,0,0.82128,181.94,17.643,4296,0,0,0,0,0,1.66,0.9,0.96012,369,0,1.1024,0,0,0,8.4737,0.29,0,362,23.268,83.292,23.438,159.61,82.638,82.695,116.71,1.1,2.572,0,0,0.74999,19.9,3936,-6,811.19,100,7.18,2005,4296
411.95,0,-0.00077291,0.086655,0.46357,0,0.15223,-0.44873,0.21251,0.32,166,0.031802,23.575,0,0,0,2453500,0,0.15,0.105,0.045,0.7,1.3907,1.2643,5,0,0.8391,181.89,17.708,4296,0,0,0,0,0,0,0.86,0.97454,369,0,1.1085,0,0,0,6.7117,0.29313,0,361.94,23.313,84.247,23.438,160.6,83.623,83.733,116.66,1.1,2.6738,0,0,0.77606,18.8,3960,-6,832.6,100,4.91,2005,4296
393.64,0,-0.00063233,0.086905,0.47036,0,0.073824,-0.44816,0.20813,0.32,167,0.014468,23.641,0,0,0,2453500,0,0.15,0.105,0.045,0.7,1.4111,1.2828,5,0,0.83284,181.84,17.774,4296,0,0,0,0,0,0,0.91,0.98918,369,0,1.1148,0,0,0,4.0039,0.29203,0,361.89,23.351,85.202,23.438,161.58,84.609,84.773,116.63,1.1,2.7771,0,0,0.76694,15.5,3984,-6,853.71,100,2.22,2005,4296
400.78,0,-0.00067813,0.087533,0.47693,0,0.33848,-0.44769,0.20564,0.32,168,0.019143,23.706,0,0,0,2453500,0,0.15,0.105,0.045,0.7,1.4308,1.3007,5,0,0.82929,181.78,17.84,4296,0,0,0,0,0,0,0.63,1.0035,369,0,1.121,0,0,0,4.7375,0.29141,0,361.83,23.382,86.157,23.438,162.57,85.595,85.812,116.6,1.1,2.8777,0,0,0.76175,16.8,4008,-6,872.78,100,2.92,2005,4296
